title,original_price,current_price,stock_status
Catan,$34.990,,
The White Castle,$31.990,,
King of Tokyo Origins,$29.990,,
Copérnico,$23.990,,
Corduba 27 a.C.,$95.990,,
Colt Express,$32.990,,
Ubongo,$34.990,,
Alhambra,$38.990,,
Polilla Tramposa,$15.990,,
El Abejorro Tramposo,$14.990,,
Catan exp. Ciudades y Caballeros,$35.990,,
Catan exp. Navegantes,$34.990,,
La Tripulacion,$19.990,,
Sushi Go Party,$22.990,,
Silk,$22.990,,
Chakra,$26.990,,
Chakra exp: Ying Yang,$14.990,$10.493,Oferta
Cooper Island,$55.990,$44.792,Oferta
Four Gardens,$50.990,$25.495,Oferta
Shamans,$28.990,$23.192,Oferta
Azul: El jardín de la Reina,$44.990,$26.994,Oferta
Praga Caput Regni,$62.990,$44.093,Oferta
Suburbia,$62.990,$44.093,Oferta
Dobble Clásico,$14.990,,
Dobble Harry Potter,$15.990,,
Exploding Kittens,$20.990,,
Exploding Kittens: Recetas del Desastre,$30.990,,
Hanabi (nueva versión),$12.990,,
Jaipur,$19.990,,
Splendor (Nueva Edición),$34.990,,
Belfort,$59.990,$41.993,Oferta
Yokohama,$56.990,,
Saqueadores de Midgard,$50.990,$40.792,Oferta
Jungle Speed ECO,$17.990,,
7 Wonders Duel,$26.990,,
7 Wonders exp. Armada - Nueva Edicion,$24.990,,
7 Wonders exp. Cities - Nueva Edicion,$24.990,,
Azul: Vitrales de Sintra,$39.990,,
Black Angel,$69.990,$41.994,Oferta
Love Letter (Eco Box),$14.990,,
Panic Mansion,$27.990,,
Photosynthesis,$44.990,,
Taco Gato Cabra Queso Pizza,$12.990,,
Cortex Challenge Original,$14.990,,
Cortex Challenge 2,$14.990,,
Imagine Refresh,$21.990,,
Aventureros al Tren: América,$44.990,,
Aventureros al Tren: Europa,$44.990,,
Aventureros al Tren: El Corazón de Africa,$26.990,,
Aventureros al Tren: Asia,$37.990,,
Aventureros al Tren: Francia,$34.990,$27.992,Oferta
Aventureros al Tren: Países Bajos,$26.990,,
Aventureros al Tren: India y Suiza,$31.990,$25.592,Oferta
Aventureros al Tren: La Vuelta al mundo,$79.990,,
Aventureros al Tren: United Kingdom y Pennsylvania,$37.990,$30.392,Oferta
Cacao,$25.990,,
Catan: Juego de Cartas,$10.990,,
Barrio,$15.990,,
Century: Maravillas de Oriente,$37.990,$22.794,Oferta
Century: Un Nuevo Mundo,$37.990,$22.794,Oferta
Clank,$59.990,,
Dominion,$41.990,,
Fast Food Fear,$15.990,,
Fauna,$39.990,,
La Guerra del Anillo,$90.990,,
King of New York,$39.990,,
La Escalera Encantada,$29.990,,
Pick a Perro,$14.990,,
Virus,$19.990,,
Virus 2 Exp. Evolution,$15.990,,
Alta Tension Reenergizado,$39.990,,
Munchkin,$25.990,,
Cortex Challenge Kids,$14.990,,
Cortex Challenge kids 2,$14.990,,
¿Quien fue?,$12.990,,
Fairy Tile,$25.990,,
Illusion,$12.990,,
La Dama y el Tigre,$12.990,$9.093,Oferta
La Leyenda del Cerezo que Florece cada Diez Años,$20.990,,
Qwixx,$12.990,,
Qwixx expansión: Big Points,$5.990,,
Qwixx expansion: Bonus,$5.990,,
Robots,$9.990,,
Saboteur,$11.990,,
Saboteur 2,$10.990,,
The Game,$12.990,,
The Game  - Cara a cara,$10.990,,
The Game Rapido y Simple,$12.990,,
Not alone,$18.990,,
Marrakech,$29.990,,
Quixo,$29.990,,
Aventura de las Tablas,$33.990,,
Lady Richmond,$21.990,$10.995,Oferta
Rey de los Dados,$24.990,,
Rhino Hero,$13.990,,
Bandido Ed. Fractal,$12.990,,
Forest,$10.990,,
Kariba,$10.990,,
Kawaii,$10.990,,
Papageno,$10.990,,
Papageno Chile,$12.990,,
Bunny Kingdom,$49.990,,
Dixit Odyssey Refresh,$29.990,,
Mysterium Refresh,$37.990,,
Cytosis,$35.990,,
El Curso de la Historia,$17.990,$12.593,Oferta
Abluxxen,$14.990,,
Cocos Locos,$24.990,,
Cubirds,$16.990,,
Entre Dos Castillos del Rey Loco,$61.990,,
Wingspan - Español,$62.990,,
Wyrmspan - Español,$64.990,,
El Switcher,$18.990,,
Camel up 2.0 cartas,$24.990,,
Takenoko (Nueva edición),$38.990,,
Takenoko - Chibis,$21.990,,
Reinos de Papel,$32.990,$26.392,Oferta
¿Cual es la Pareja?,$9.990,,
Concept Kids,$24.990,,
Coatl,$32.990,$19.794,Oferta
Sierra West,$45.990,,
Ikonikus,$15.990,,
Catan ampl. 5-6 Jugadores,$25.990,,
Catan Mercaderes y Barbaros ampl. 5-6 Jugadores,$24.990,,
Similo: Fabulas,$9.990,,
Similo: Historia,$9.990,,
Similo: Mitos,$9.990,,
Jenga,$16.990,,
Robinson Crusoe: Aventuras en la Isla Maldita - Edicion Coleccionista,$99.990,,
Ensalada de Puntos,$14.990,,
Alubari,$50.990,$40.792,Oferta
Pandemic,$36.990,,
Sky Team,$29.990,,
Gen 7 - Ingles,$82.990,$41.495,Oferta
Pandemic exp. The Cure - Ingles,$41.990,$20.995,Oferta
Great Western Trail Segunda Edición,$63.990,,
Food Chain Magnate,$128.990,,
Great Western Trail - 2ª Ed - Railes hacia el norte,$44.990,,
Great Western Trail Argentina,$74.990,,
Great Western Trail Nueva Zelanda,$81.990,,
Food Chain Magnate exp Ketchup,$129.990,,
Heaven & Ale,$54.990,,
Here I Stand,$85.990,$68.792,Oferta
Dixit exp. Aniversario,$19.990,,
Dixit exp. Daydreams,$19.990,,
Dixit exp. Journey,$19.990,,
Dixit exp. Memories,$19.990,,
Dixit exp. Origins,$19.990,,
Dixit exp. Quest,$19.990,,
Dixit exp. Revelations,$19.990,,
The Mind,$12.990,,
The Mind extreme,$12.990,,
Combat Commander: EUROPA,$59.990,,
Exit: El Castillo Prohibido,$14.990,,
Exit: La Estacion Polar,$14.990,,
Exit: El Tesoro Hundido,$14.990,,
Exit: Muerte en el Orient Express,$14.990,,
La Guerra en el Pacifico,$22.990,,
Catan exp. Piratas y Exploradores,$39.990,,
Exit: La Isla Olvidada,$12.990,,
Memoir '44 - Refresh,$69.990,,
La Isla Prohibida,$24.990,,
La Resistencia,$21.990,,
Papua,$37.990,$30.392,Oferta
Set,$15.990,,
Star Realms,$12.990,,
Seafall,$70.990,$42.594,Oferta
Red Cathedral,$25.990,$20.792,Oferta
La Corte del Zar,$59.990,,
Kraftwagen: Age of Engineering,$62.990,,
Dragon’s Gold,$27.990,,
La Viña,$22.990,$16.093,Oferta
Alquimistas exp. El Golem del Rey,$29.990,,
Cacao exp. Diamante,$18.990,,
Paris: La Cite de la Lumiere,$24.990,$14.994,Oferta
Concept,$29.990,,
Ex Libris,$50.990,$40.792,Oferta
Trajano,$61.990,,
Feudum,$94.990,,
Fanhunter Urban Warfare,$61.990,$30.995,Oferta
Hegemonia,$21.990,$10.995,Oferta
Cupcake Empire,$31.990,,
Codigo Secreto Imagenes,$24.990,,
Rise to Nobility,$55.990,,
Robin Hood y sus Alegres Compañeros,$60.990,$42.693,Oferta
La Guerra de la Triple Alianza,$69.990,,
Star Realms exp. Gambito,$2.500,,
Exit: El Laboratorio Secreto,$14.990,,
No sin mi gato (nueva versión),$12.990,,
Quarto,$29.990,,
Quarto Mini,$21.990,,
Quixo Mini,$21.990,,
Unlock! Miniaventuras - Recetas Secretas de Antaño,$6.990,,
Mezo,$84.990,$59.493,Oferta
Yogi 2 Edición,$14.990,,
Time's Up! Party,$19.990,,
The Magnificent,$49.990,$34.993,Oferta
Arte Moderno - 31 Minutos,$22.990,,
Onirim,$25.990,,
Just One Refresh,$22.990,,
Mision Cumplida,$13.990,,
La Macarena,$15.990,,
Aventureros al Tren: Amsterdam,$19.990,$15.992,Oferta
Aventureros al Tren: San Francisco,$19.990,,
Aventureros al Tren: Londres,$19.990,,
Aventureros al Tren: New York,$19.990,,
The Siege of Runedar,$54.990,,
Azul,$39.990,,
Hive Version Pocket,$26.990,,
Rescate exp. Alto riesgo,$30.990,,
Fantasma Blitz,$15.990,,
Star Wars Legion - Rebel Sleeper Cell Unit Expansion,$44.990,,
Sword & Sorcery,$95.990,,
Sword & Sorcery Crónicas Antiguas,$119.990,,
Kurruf: Aventura en la Selva Patagonica,$31.990,,
Raton Valiente,$9.990,$7.992,Oferta
Draftosaurus,$20.990,,
Llama,$12.990,,
Llama Kadabra,$12.990,,
Toma 6!,$11.990,,
Scythe,$95.990,,
La Guerra de los Mundos: Nueva Oleada,$38.990,,
Undaunted Normandy - Español,$49.990,,
Blackout Hong Kong,$68.990,,
Campeones de Midgard - Big Box,$149.990,,
Clash of Cultures Edición Monumental,$185.990,,
Crown of Emara,$58.990,$41.293,Oferta
Indian Summer,$32.990,$19.794,Oferta
Proyecto Manhattan 2: Minutos para la Medianoche,$59.990,$47.992,Oferta
Nova Luna,$35.990,,
Brass Lancashire,$63.990,,
Unicorn Fever,$34.990,,
Sushi Go,$12.990,,
Newton,$59.990,,
Pictures,$43.990,$30.793,Oferta
Donning the Purple,$55.990,$44.792,Oferta
Istanbul - Big Box,$77.990,,
Scotland Yard,$23.990,$11.995,Oferta
Pylos,$29.990,,
Welcome: Hacia el Perfecto Hogar,$26.990,,
Wordsmith,$24.990,$14.994,Oferta
Mision Secreta,$11.990,,
Scythe exp. Vientos de Guerra y Paz,$34.990,,
Wingspan: Expansion Europea,$31.990,,
Imagine Family,$24.990,,
Condorito Rascacielos,$15.990,,
Stockpile,$59.990,,
Exit: El Legado del Profesor,$14.990,,
Through the Ages: Una Nueva Historia de las Civilizaciones,$59.990,,
Exit: Secuestro en Fortune City,$14.990,,
Fantasma Blitz Mini,$8.990,,
Aventureros al Tren: Europa 15th Anniversary,$99.990,,
Monasterium,$45.990,$32.193,Oferta
Dobble Gigante,$24.990,,
Ajedrez Magnetico High-Class Set (Varios Tamaños),$3.990,,
Captain Bluff,$12.990,$6.495,Oferta
Tokyo Ghoul: Bloody Masquerade,$39.990,$27.993,Oferta
Terraforming Mars,$65.990,,
Cuzco,$58.990,,
Tikal,$58.990,,
Wingspan: Expansion Oceania,$32.990,,
Bonfire,$59.990,,
Gaia Project,$87.990,,
Ark Nova,$78.990,,
Teotihuacan Ciudad de Dioses,$59.990,,
Cosmic Encounter Duel,$41.990,$25.194,Oferta
Space Base,$46.990,,
Tawantisuyu: El Imperio Inca,$59.990,$47.992,Oferta
BrainBox: Animales Nueva Edición,$14.990,,
BrainBox: Imágenes Nueva Edición,$14.990,,
Preventa - BrainBox: Erase una vez,$14.990,,
Meeple Land,$33.990,,
Optimus,$15.990,,
Optimus 2,$14.990,,
Cobardes!,$10.990,$6.594,Oferta
Platypus,$22.990,,
Throw Throw Burrito Ed. Extrema para Exteriores,$29.990,,
Zombie Burrito,$24.990,,
Bomb Squad,$29.990,,
Aztec,$14.990,$8.994,Oferta
Magic Maze en Marte,$25.990,,
Gravity Superstar,$30.990,$21.693,Oferta
Mindo Gatos,$12.990,,
Los Paises del Mundo,$34.990,,
Erase una vez exp. Cuentos de Caballeros,$13.000,$7.800,Oferta
Erase una vez exp. Cuentos de Piratas,$13.000,$7.800,Oferta
Erase una vez exp. Cuentos Encantados,$13.000,$7.800,Oferta
Caverna vs Caverna,$19.990,,
Dungeons & Dragons Caos en Neverwinter,$55.990,,
Abracada Que?,$34.990,,
Claim 2,$12.990,,
Mexica,$49.990,,
Lincoln,$40.990,$24.594,Oferta
Exit: La Tumba del Faraon,$12.990,,
Puerto Rico,$65.990,,
Alto Voltaje,$14.990,,
Agricola,$49.990,,
Agricola 15 Aniversario,$119.990,,
Vizcondes del Reino del Oeste,$49.990,,
El Muro de Adriano,$49.990,,
Exploding Minions,$27.990,,
Orleans exp Comercio e Intriga,$46.990,,
Orleans exp Invasión,$46.990,,
Shrimp,$14.990,,
Carcassonne Contructores y Comerciantes Exp2,$16.990,,
Catan ampl. 5-6 Piratas y Exploradores,$24.990,,
Castle Panic exp. The Dark Titan,$13.990,$6.995,Oferta
Robots El Juego,$17.990,,
Sherlock Serie Q: Propagacion,$8.990,,
Sherlock Serie Q: Paradero Desconocido,$8.990,,
After the Virus,$24.990,,
Black Stories Superheroes,$14.990,,
Black Stories Crimenes Reales,$14.990,,
Terraforming Mars exp. Conflictos,$30.990,,
Honey Buzz,$54.990,,
Expediciones,$87.990,,
Terraforming Mars exp. Venus Next,$29.990,,
Terraforming Mars exp. Hellas y Elysium,$17.990,,
The Grimm Masquerade,$34.990,$24.493,Oferta
Detective exp. Crimenes en LA,$28.990,$14.495,Oferta
Coloretto,$13.990,$11.192,Oferta
Design Town,$14.990,$7.495,Oferta
Oceans,$70.990,,
Sherlock Serie Q: 13 Rehenes,$8.990,,
Potion Explotion,$39.990,,
King of Tokyo exp. Halloween,$17.990,,
Detectives exp. Sigue la Pista,$15.990,$7.995,Oferta
La Gran Guerra exp Ejercito Francés,$54.990,,
Onitama exp La Senda del Viento,$13.990,,
Ninja Night,$25.990,$18.193,Oferta
Sherlock Serie Q Junior: Suriguri,$8.990,,
Misty,$10.990,,
