title,current_price,original_price,stock_status,url
Concept,$29.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/6407-concept.html
Exploding Kittens: El Bien Contra el Mal,$22.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7188-exploding-kittens-el-bien-contra-el-mal.html
Exit: El Tesoro Hundido,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/2674-exit-el-tesoro-hundido.html
Exit: La Academia de las Artes Mágicas,$17.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/8412-exit-la-academia-de-las-artes-magicas.html
My City Roll and Write,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7199-my-city-roll-and-write.html
Just One (Segunda Edición),$22.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/8442-just-one-segunda-edicion.html
Telestrations (Segunda Edición),$29.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/5656-telestrations-segunda-edicion.html
Terapeuta de Pacotilla,$19.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/8437-terapeuta-de-pacotilla.html
Abalone Go,$11.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/8431-abalone-go.html
Ride the Rails: France & Germany (Expansión),$13.293,$18.990,Oferta,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/2757-ride-the-rails-france-germany-expansion.html
Unstable Unicorns,$21.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/3308-unstable-unicorns.html
Jungo,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/8384-jungo.html
Patchwork Edición Andina,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/8003-patchwork-edicion-andina.html
Azul,$39.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/1292-azul.html
Corrales a Tope,$5.000,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/4616-corrales-a-tope.html
Happy Salmon,$12.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7075-happy-salmon.html
BrainBox: El Mundo,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/4156-brainbox-el-mundo.html
BrainBox: Animales,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/4180-brainbox-animales.html
BrainBox: Harry Potter,$16.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/5356-brainbox-harry-potter.html
Troyes Dice,$24.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7528-troyes-dice.html
Dobble: 31 Minutos,$15.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7720-dobble-31-minutos.html
Robots: El Juego,$8.000,$16.000,Oferta,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/6764-robots-el-juego.html
Taco Gatito Pizza,$11.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7361-taco-gatito-pizza.html
Curao' Volao' o Weón,$19.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/6439-curao-volao-o-weon.html
