title,original_price,current_price,stock_status,url
Bloops,$11.990,$10.990,Oferta,https://revaruk.cl/producto/bloops/
Hint 2 : Formas y Sonidos,$19.990,$18.990,Oferta,https://revaruk.cl/producto/hint-2-formas-y-sonidos/
Hint (Nueva edición),$19.990,,,https://revaruk.cl/producto/hint-nueva-edicion/
Etherstone,$37.990,$35.990,Agotado,https://revaruk.cl/producto/etherstone/
Spooky Tower,$21.990,$19.990,Oferta,https://revaruk.cl/producto/spooky-tower/
Forest Suffle : Linde del Bosque,$11.990,,,https://revaruk.cl/producto/forest-suffle-linde-del-bosque/
Magical Athlete,$29.990,$27.990,Oferta,https://revaruk.cl/producto/magical-athlete/
Dobble KPop Demon Hunters,$16.990,$15.990,Oferta,https://revaruk.cl/producto/dobble-kpop-demon-hunters/
5 Minute One Piece,$31.990,$28.990,Oferta,https://revaruk.cl/producto/5-minute-one-piece/
Ninjago : Destinys Bounty Adventures (LEGO),$44.990,$40.990,Oferta,https://revaruk.cl/producto/ninjago-destinys-bounty-adventures-lego/
Got Five,$22.990,$20.990,Oferta,https://revaruk.cl/producto/got-five/
Tag Team,$22.990,$20.990,Oferta,https://revaruk.cl/producto/tag-team/
Cthulhu Dark Providence,$49.990,$44.990,Oferta,https://revaruk.cl/producto/cthulhu-dark-providence/
Fantasma Blitz ¡Feliz aniversario!,$9.990,,,https://revaruk.cl/producto/fantasma-blitz-feliz-aniversario/
Dragones del Mar: Tesoros de las Profundidades (Expansión),$19.990,$18.990,Oferta,https://revaruk.cl/producto/dragones-del-mar-tesoros-de-las-profundidades-expansion/
Obsesión,$69.990,$67.990,Agotado,https://revaruk.cl/producto/obsesion/
Carnuta,$19.990,$17.990,Oferta,https://revaruk.cl/producto/carnuta/
Men Nefer,$64.990,$57.990,Oferta,https://revaruk.cl/producto/men-nefer/
Ark Nova,$79.990,$71.990,Oferta,https://revaruk.cl/producto/ark-nova/
Cubirds,$15.990,,,https://revaruk.cl/producto/cubirds/
Tranquilidad,$15.990,,,https://revaruk.cl/producto/tranquilidad/
Misty Valley,$27.990,$18.990,Oferta,https://revaruk.cl/producto/misty-valley/
Pandemic,$36.990,$24.990,Oferta,https://revaruk.cl/producto/pandemic/
Sweet Lands,$94.990,,Agotado,https://revaruk.cl/producto/sweet-lands/
Astro Knights,$47.990,$44.990,Agotado,https://revaruk.cl/producto/astro-knights/
Oltree,$62.990,$59.990,Agotado,https://revaruk.cl/producto/oltree/
Star Realms: Rise of Empire,$72.990,$63.990,Oferta,https://revaruk.cl/producto/star-realms-rise-of-empire/
Dead Cells,$99.990,,Agotado,https://revaruk.cl/producto/dead-cells/
Ziggurat,$42.990,$36.990,Oferta,https://revaruk.cl/producto/ziggurat/
Arkham Horror : El Juego de Cartas (2026),$69.990,$64.990,Oferta,https://revaruk.cl/producto/arkham-horror-el-juego-de-cartas-2026/
HEAT : Terreno Inestable (Expansión),$29.990,$26.990,Oferta,https://revaruk.cl/producto/heat-terreno-inestable-expansion/
Sushi Go! Gira y Come Dim Sum,$24.990,$19.990,Oferta,https://revaruk.cl/producto/sushi-go-gira-y-come-dim-sum-2/
Nucleum,$74.990,$64.990,Oferta,https://revaruk.cl/producto/nucleum-2/
Wyrmspan,$69.990,$61.990,Oferta,https://revaruk.cl/producto/wyrmspan/
Pareja de Pacotilla,$22.990,$18.990,Oferta,https://revaruk.cl/producto/pareja-de-pacotilla/
Coyote,$17.990,$14.390,Oferta,https://revaruk.cl/producto/coyote/
Forest Shuffle Dartmoor,$32.990,$28.090,Oferta,https://revaruk.cl/producto/forest-shuffle-dartmoor/
INK,$39.990,$34.990,Oferta,https://revaruk.cl/producto/ink/
Marvel Champions – Wonder Man,$15.990,$14.990,Oferta,https://revaruk.cl/producto/marvel-champions-wonder-man/
Marvel Champions – Hercules,$15.990,$14.990,Oferta,https://revaruk.cl/producto/marvel-champions-hercules/
Marvel Champions – Synthezoid Smackdown Pack de Escenario,$24.990,$22.990,Oferta,https://revaruk.cl/producto/marvel-champions-synthezoid-smackdown-pack-de-escenario/
Aventuras en Villa Pegatina,$39.990,$34.990,Oferta,https://revaruk.cl/producto/aventuras-en-villa-pegatina/
Mente Vacuna,$20.990,$18.990,Oferta,https://revaruk.cl/producto/mente-vacuna/
Turing Machine,$56.990,,Agotado,https://revaruk.cl/producto/turing-machine/
Wingspan,$64.990,$58.990,Oferta,https://revaruk.cl/producto/wingspan/
Tapestry,$84.990,$73.990,Oferta,https://revaruk.cl/producto/tapestry/
Port Royal – Small Box,$17.990,$14.990,Oferta,https://revaruk.cl/producto/port-royal-small-box/
Luz,$16.990,$14.990,Oferta,https://revaruk.cl/producto/luz/
Mini Rogue,$27.990,,,https://revaruk.cl/producto/mini-rogue/
Las Dos Torres – El juego de bazas,$21.990,$18.990,Oferta,https://revaruk.cl/producto/las-dos-torres-el-juego-de-bazas/
Dominio de los Elementos – Arena y Viento (Expansión),$14.990,$13.990,Oferta,https://revaruk.cl/producto/dominio-de-los-elementos-arena-y-viento-expansion/
Dixit Kids,$24.990,$23.990,Oferta,https://revaruk.cl/producto/dixit-kids/
Marvel ¡Escaramuza! en New York,$27.990,$21.990,Oferta,https://revaruk.cl/producto/marvel-escaramuza-en-new-york/
Panots,$15.990,$14.990,Oferta,https://revaruk.cl/producto/panots/
Evenfall,$69.990,$67.990,Agotado,https://revaruk.cl/producto/evenfall/
Ilari Ilarié Cántalo,$19.990,$17.990,Oferta,https://revaruk.cl/producto/ilari-ilarie-cantalo/
Guerra del Anillo: Fuego y Espadas (Expansión),$29.990,$28.990,Oferta,https://revaruk.cl/producto/guerra-del-anillo-fuego-y-espadas-expansion/
Finca,$39.990,$32.990,Oferta,https://revaruk.cl/producto/finca/
Imperium Horizontes,$54.990,$49.990,Oferta,https://revaruk.cl/producto/imperium-horizontes/
Master Dater,$24.990,$22.990,Agotado,https://revaruk.cl/producto/master-dater/
Gigantes Moviendo Mueblecitos,$24.990,$11.990,Agotado,https://revaruk.cl/producto/gigantes-moviendo-mueblecitos/
El Gato y la Torre,$21.990,$19.990,Oferta,https://revaruk.cl/producto/el-gato-y-la-torre/
Exit : Calendario de Adviento,$34.990,,Agotado,https://revaruk.cl/producto/exit-calendario-de-adviento/
The White Castle Duel,$25.990,$19.990,Oferta,https://revaruk.cl/producto/the-white-castle-duel/
Covenant,$59.990,$53.990,Agotado,https://revaruk.cl/producto/covenant/
¡Tiburón!,$19.990,$15.990,Oferta,https://revaruk.cl/producto/tiburon/
Pelusas Revolution,$14.990,$13.990,Oferta,https://revaruk.cl/producto/pelusas-revolution/
Alebrijes,$14.990,$13.990,Oferta,https://revaruk.cl/producto/alebrijes/
Pack Juegos en Lata,$48.990,$44.990,Agotado,https://revaruk.cl/producto/pack-juegos-en-lata/
Kittin,$12.990,$11.990,Oferta,https://revaruk.cl/producto/kittin/
Tinderblox,$11.990,,,https://revaruk.cl/producto/tinderblox/
Tic Tac Trek,$11.990,$10.990,Oferta,https://revaruk.cl/producto/tic-tac-trek/
Barbecubes,$11.990,,Agotado,https://revaruk.cl/producto/barbecubes/
Forest Shuffle : Cumbres Alpinas (Expansión),$11.990,$10.990,Oferta,https://revaruk.cl/producto/forest-shuffle-cumbres-alpinas-expansion/
No sin mi Gato (Nueva Edición),$12.990,$11.990,Oferta,https://revaruk.cl/producto/no-sin-mi-gato-nueva-edicion/
Robinson Crusoe: Edición coleccionista,$79.990,,Agotado,https://revaruk.cl/producto/robinson-crusoe-edicion-coleccionista/
Brass Birmingham (Deluxe Edición),$89.990,,Agotado,https://revaruk.cl/producto/brass-birmingham-deluxe-edicion/
MindBug : Fruta de Batalla Galaxia,$25.990,,Agotado,https://revaruk.cl/producto/mindbug-fruta-de-batalla-galaxia/
MindBug : Fruta de Batalla Reino,$25.990,,Agotado,https://revaruk.cl/producto/mindbug-fruta-de-batallas-reino/
Panda Royale,$34.990,$29.990,Oferta,https://revaruk.cl/producto/panda-royale/
Finspan,$49.990,$46.990,Agotado,https://revaruk.cl/producto/finspan/
Flamecraft,$52.990,$45.990,Agotado,https://revaruk.cl/producto/flamecraft/
Dracula VS Van Helsing,$21.990,$19.990,Oferta,https://revaruk.cl/producto/dracula-vs-van-helsing/
Telestrations (Nueva Edición),$29.990,$25.990,Oferta,https://revaruk.cl/producto/telestrations-nueva-edicion/
Brick Like This (LEGO),$19.990,$17.990,Oferta,https://revaruk.cl/producto/brick-like-this-lego/
Duck & Cover,$17.990,$15.990,Agotado,https://revaruk.cl/producto/duck-cover/
Hive Pocket Ultimate,$21.990,$19.990,Oferta,https://revaruk.cl/producto/hive-pocket-ultimate/
Criaturas de las Sombras: Expansión Roca Fundida,$21.990,$20.990,Agotado,https://revaruk.cl/producto/criaturas-de-las-sombras-expansion-roca-fundida/
Just One (Nueva Edición),$22.990,$18.990,Oferta,https://revaruk.cl/producto/just-one-nueva-edicion/
Yo Soy Tu Peli,$19.990,$17.990,Oferta,https://revaruk.cl/producto/yo-soy-tu-peli/
Smart 10,$25.990,$19.990,Oferta,https://revaruk.cl/producto/smart-10/
Micro Macro Crime City – All In,$35.990,,Agotado,https://revaruk.cl/producto/micro-macro-crime-city-all-in/
Cat Horror Costume,$22.990,,Agotado,https://revaruk.cl/producto/cat-horror-costume/
Unlock! – Enchanted Adventures,$31.990,,Agotado,https://revaruk.cl/producto/unlock-enchanted-adventures/
7 Wonders Dice,$29.990,$24.990,Oferta,https://revaruk.cl/producto/7-wonders-dice/
Twisted Cryptids,$21.990,$17.990,Oferta,https://revaruk.cl/producto/twisted-cryptids/
Moirai,$9.990,$8.990,Agotado,https://revaruk.cl/producto/moirai/
Love Letter Eco Box,$14.990,$13.990,Oferta,https://revaruk.cl/producto/love-letter-eco-box/
Formula 31,$19.990,$18.990,Oferta,https://revaruk.cl/producto/formula-31/
¡Otra vez Sopa!,$14.990,$12.990,Oferta,https://revaruk.cl/producto/otra-vez-sopa/
Gustos son Gustos,$14.990,$12.990,Oferta,https://revaruk.cl/producto/gustos-son-gustos/
¿Quién Fue? (2da Edición),$12.990,$10.990,Agotado,https://revaruk.cl/producto/quien-fue-2da-edicion/
Memoir 44 (Nueva Edición),$69.990,,Agotado,https://revaruk.cl/producto/memoir-44-nueva-edicion/
Dobble Catan,$16.990,$11.990,Oferta,https://revaruk.cl/producto/dobble-catan/
Duplik (Nueva Edición),$24.990,$20.990,Oferta,https://revaruk.cl/producto/duplik-nueva-edicion/
ARCS : Pack de Miniaturas,$54.990,$52.990,Agotado,https://revaruk.cl/producto/arcs-pack-de-miniaturas/
ARCS : Líderes y Trasfondo (Expansión),$19.990,,Agotado,https://revaruk.cl/producto/arcs-lideres-y-trasfondo/
ARCS,$79.990,,Agotado,https://revaruk.cl/producto/arcs/
Red Carpet,$25.990,$21.990,Agotado,https://revaruk.cl/producto/red-carpet/
Dino Fiesta,$17.990,$16.990,Agotado,https://revaruk.cl/producto/dino-fiesta/
Pack Puzzles 31 Minutos,$50.970,,Agotado,https://revaruk.cl/producto/pack-puzzles-31-minutos/
Escenas Cotidianas de Titirilquén (Puzzle 1000pcs),$16.990,,Agotado,https://revaruk.cl/producto/escenas-cotidianas-de-titirilquen-puzzle-1000pcs/
El Gran Tusunami (Puzzle 500pcs),$16.990,,Agotado,https://revaruk.cl/producto/el-gran-tusunami-puzzle-500pcs/
Dewan,$37.990,$32.990,Oferta,https://revaruk.cl/producto/dewan/
El Pantano de Feya,$34.990,$27.990,Oferta,https://revaruk.cl/producto/el-pantano-de-feya/
Bajo las Hojas,$24.990,$20.990,Oferta,https://revaruk.cl/producto/bajo-las-hojas/
Mysterium Refresh,$37.990,$34.990,Agotado,https://revaruk.cl/producto/mysterium-refresh/
Potion Explosion,$39.990,$33.990,Oferta,https://revaruk.cl/producto/potion-explosion/
Forest Shuffle: Exploración (Expansión),$11.990,$10.990,Oferta,https://revaruk.cl/producto/forest-shuffle-exploracion-expansion/
