title,original_price,current_price,stock_status,url
Amigos de Mierda,$12.990,,,https://www.elpatiogeek.cl/products/amigos-de-mierda
La Feria de las Pulgas de Titirilquen,$14.990,,,https://www.elpatiogeek.cl/products/la-feria-de-las-pulgas-de-titirilquen
Mala Leche Original,$21.990,,,https://www.elpatiogeek.cl/products/mala-leche-original
Decisiones De Mierda,$12.990,,,https://www.elpatiogeek.cl/products/decisiones-de-mierda
Funda Stronghold Standard (63.5 x 88 mm),$2.490,,,https://www.elpatiogeek.cl/products/funda-stronghold-standard-63-5mm-x-88mm
Amigos de Mierda 2,$12.990,,,https://www.elpatiogeek.cl/products/amigos-de-mierda-2
Mala Leche con Plátano,$21.990,,,https://www.elpatiogeek.cl/products/mala-leche-con-platano
Donde Las Papas Queman,$15.990,,,https://www.elpatiogeek.cl/products/donde-las-papas-queman
Dobble Blister Eco,$11.990,,,https://www.elpatiogeek.cl/products/dobble-blister-eco
Curao' Volao' o Weón,$19.990,,,https://www.elpatiogeek.cl/products/curao-volao-o-weon
Chupilca Hetero Love,$10.990,,,https://www.elpatiogeek.cl/products/chupilca-hetero-love
The Mind,$12.990,,,https://www.elpatiogeek.cl/products/the-mind
Telestrations Refresh,$29.990,,,https://www.elpatiogeek.cl/products/telestrations
Taco Gato Cabra Queso Pizza,$11.990,,,https://www.elpatiogeek.cl/products/taco-gato-cabra-queso-pizza
Cortex Challenge,$14.990,$13.990,Oferta,https://www.elpatiogeek.cl/products/cortex-challenge
Virus,$19.990,,,https://www.elpatiogeek.cl/products/virus
¿Quién fue?,$12.990,$11.500,Oferta,https://www.elpatiogeek.cl/products/quien-fue
Exploding Kittens Base,$20.990,,,https://www.elpatiogeek.cl/products/exploding-kittens
Chupilca! Yo Nunca Hot,$10.990,,,https://www.elpatiogeek.cl/products/chupilca-yo-nunca-hot
Funda Stronghold Mini European (44 x 68 mm),$1.990,,,https://www.elpatiogeek.cl/products/funda-stronghold-mini-european-44mm-x-68mm
Pistas Cruzadas,$16.990,,,https://www.elpatiogeek.cl/products/pistas-cruzadas
Funda Stronghold Standard American/Quimera (57.5 x 89 mm),$2.490,,,https://www.elpatiogeek.cl/products/funda-stronghold-standard-american-quimera-57-5mm-x-89mm
Catan,$34.990,,,https://www.elpatiogeek.cl/products/catan
Cuentero,$14.990,,,https://www.elpatiogeek.cl/products/cuentero
Dobble Harry Potter,$15.990,,,https://www.elpatiogeek.cl/products/dobble-harry-potter
Polilla Tramposa,$15.990,,,https://www.elpatiogeek.cl/products/polilla-tramposa
Dixit Odyssey Refresh,$31.990,,,https://www.elpatiogeek.cl/products/dixit-odyssey-refresh
Saboteur,$12.990,,,https://www.elpatiogeek.cl/products/saboteur
Exploding Kittens: Recetas del Desastre,$33.990,,,https://www.elpatiogeek.cl/products/exploding-kittens-recetas-del-desastre
Pelusas,$12.990,,,https://www.elpatiogeek.cl/products/pelusas
7 Wonders Duel,$26.990,,,https://www.elpatiogeek.cl/products/7wondersduel
Tranvía Mortal,$24.990,,,https://www.elpatiogeek.cl/products/tranvia-mortal
"Promociones, nuevos productos y ventas. Directamente a tu bandeja de entrada.",,,,
Dobble 31 Minutos,$15.990,,,https://www.elpatiogeek.cl/products/dobble-31-minutos
Cortex Challenge 2,$14.990,,,https://www.elpatiogeek.cl/products/cortex-challenge-2
What Do You Meme? Edición Latina,$29.990,,,https://www.elpatiogeek.cl/products/what-do-you-meme-edicion-latina
Unstable Unicorns,$21.990,$19.990,Oferta,https://www.elpatiogeek.cl/products/unstable-unicorns
Chromino Smallbox,$16.990,,,https://www.elpatiogeek.cl/products/chromino-smallbox
Happy Little Dinosaurs,$21.990,,,https://www.elpatiogeek.cl/products/happy-little-dinosaurs
Exploding Kittens: Party Pack,$29.990,,,https://www.elpatiogeek.cl/products/copia-de-exploding-kittens-base
Taco Gorro Torta Caja Pizza,$11.990,,,https://www.elpatiogeek.cl/products/taco-gorro-torta-caja-pizza
Juego De Expresiones Cambia Caras (Cubos),$14.990,$9.990,Oferta,https://www.elpatiogeek.cl/products/juego-de-expresiones-cambia-caras
