title,original_price,current_price,stock_status,url
Taco Gorro Torta Caja Pizza,$11.990,,,https://www.ludi.cl/producto/taco-gorro-torta-caja-pizza/
Cuentero,$19.990,,,https://www.ludi.cl/producto/cuentero/
Mala Leche,$24.990,,,https://www.ludi.cl/producto/mala-leche/
Mala Leche con Platano,$24.990,,,https://www.ludi.cl/producto/mala-leche-con-platano/
Mala Leche con Ají,$24.990,,Agotado,https://www.ludi.cl/producto/mala-leche-con-aji/
Finspan – Upgrade Pack,$40.000,,,https://www.ludi.cl/producto/finspan-upgrade-pack/
Illusion,$12.990,,Agotado,https://www.ludi.cl/producto/illusion/
Ranking Top de 31 minutos,$14.990,,Agotado,https://www.ludi.cl/producto/ranking-top-de-31-minutos/
Dobble Bluey eco sleeve,$16.990,,,https://www.ludi.cl/producto/dobble-bluey-eco-sleeve/
Dobble Connect,$14.990,,,https://www.ludi.cl/producto/dobble-connect-preventa/
Dobble Blister Eco,$11.990,,,https://www.ludi.cl/producto/dobble-blister-eco/
Dobble Dinosaurs Eco Sleeve,$14.990,,,https://www.ludi.cl/producto/dobble-dinosaurs-eco-sleeve/
Tranvía Mortal,$24.990,,Agotado,https://www.ludi.cl/producto/tranvia-mortal/
Exploding Kittens: Party Pack,$29.990,,Agotado,https://www.ludi.cl/producto/exploding-kittens-party-pack/
Hombres Lobo de Castronegro,$9.990,,Agotado,https://www.ludi.cl/producto/hombres-lobo-de-castronegro/
Throw Throw Avocado,$27.990,,Agotado,https://www.ludi.cl/producto/throw-throw-avocado-preventa/
Dobble,$14.990,,,https://www.ludi.cl/producto/dobble/
Agrícola 15 Aniversario,$119.990,$80.990,Oferta,https://www.ludi.cl/producto/agricola-15-aniversario/
Criaturas de las Sombras – Expansión Roca Fundida,$21.990,,,https://www.ludi.cl/producto/criaturas-de-las-sombras-expansion-roca-fundida/
Disney Stitch Experimento 626,$14.990,,,https://www.ludi.cl/producto/disney-stitch-experimento-626/
Dobble Catan,$16.990,,Agotado,https://www.ludi.cl/producto/dobble-catan/
Frosthaven Removable Sticker Set,$15.990,,,https://www.ludi.cl/producto/frosthaven-removable-sticker-set/
7 Wonders Dice,$29.990,,Agotado,https://www.ludi.cl/producto/7-wonders-dice/
Hive Pocket Ultimate,$21.990,,,https://www.ludi.cl/producto/hive-pocket-ultimate/
Dobble The Lord of the Rings,$16.990,,,https://www.ludi.cl/producto/dobble-the-lord-of-the-rings/
Panda Royale,$34.990,,,https://www.ludi.cl/producto/panda-royale/
Black Angel,$69.990,$59.990,Agotado,https://www.ludi.cl/producto/black-angel/
Pokemon TCG Team Rocket Tin,$30.990,$29.990,Agotado,https://www.ludi.cl/producto/pokemon-tcg-team-rocket-tin/
Rin Rin Raja,$15.990,,,https://www.ludi.cl/producto/rin-rin-raja/
Guacamole,$15.990,,,https://www.ludi.cl/producto/guacamole/
Rock Hard 1977,$52.990,,,https://www.ludi.cl/producto/rock-hard-1977/
Quorum,$25.990,,Agotado,https://www.ludi.cl/producto/quorum/
Tabernas en la Frontera,$14.990,,Agotado,https://www.ludi.cl/producto/tabernas-en-la-frontera/
Ezine: Caucho y Cromo: Apocalipsis Sobre Ruedas,$16.990,,,https://www.ludi.cl/producto/ezine-caucho-y-cromo-apocalipsis-sobre-ruedas/
Punk Terra,$23.990,,Agotado,https://www.ludi.cl/producto/punk-terra/
Virus Deck Box,$10.990,,,https://www.ludi.cl/producto/virus-deck-box/
Telestrations 80s y 90s Expansion,$7.990,,,https://www.ludi.cl/producto/telestrations-80s-y-90s-expansion/
Cartas para Conectar: Familia y Amigos,$32.900,,Agotado,https://www.ludi.cl/producto/cartas-para-conectar-familia-y-amigos/
Pokemon TCG Cynthia’s Garchomp ex Premium Collection Español,$59.990,,Agotado,https://www.ludi.cl/producto/pokemon-tcg-cynthias-garchomp-ex-premium-collection-espanol/
Kutná Hora: La Ciudad de la Plata,$59.990,,Agotado,https://www.ludi.cl/producto/kutna-hora-la-ciudad-de-la-plata/
Mage Wars Arena,$41.990,,,https://www.ludi.cl/producto/mage-wars-arena/
Twilight Struggle: La Guerra Fria,$39.990,,,https://www.ludi.cl/producto/twilight-struggle-la-guerra-fria/
Preludio 2 – Terraforming Mars,$22.990,,Agotado,https://www.ludi.cl/producto/preludio-2-terraforming-mars/
Terraforming Mars: Utopia y Cimmeria,$22.990,,,https://www.ludi.cl/producto/terraforming-mars-utopia-y-cimmeria/
Terraforming Mars: Hitos y recompensas,$19.990,,,https://www.ludi.cl/producto/terraforming-mars-hitos-y-recompensas/
Terraforming Mars: Automa,$37.990,,Agotado,https://www.ludi.cl/producto/terraforming-mars-automa/
Earth,$58.990,$51.990,Oferta,https://www.ludi.cl/producto/earth/
Gaia Project (Nueva Edición),$90.990,,,https://www.ludi.cl/producto/gaia-project/
Living Forest Duel,$28.990,,,https://www.ludi.cl/producto/living-forest-duel/
Marvel Champions – Black Panther Hero Pack,$15.990,,Agotado,https://www.ludi.cl/producto/marvel-champions-black-panther-hero-pack/
The Lie,$9.990,,,https://www.ludi.cl/producto/the-lie/
Sky Team Turbulence,$11.990,,Agotado,https://www.ludi.cl/producto/sky-team-turbulence/
Curao’ Volao’ o Weón Expansión,$12.990,,,https://www.ludi.cl/producto/curao-volao-o-weon-expansion/
Pilo pilo,$21.990,,,https://www.ludi.cl/producto/pilo-pilo/
Tras los pasos de Darwin,$35.990,,,https://www.ludi.cl/producto/tras-los-pasos-de-darwin/
Dorfromantik,$52.990,,Agotado,https://www.ludi.cl/producto/dorfromantik/
Faraway,$19.990,,Oferta,https://www.ludi.cl/producto/faraway/
Dados Pato Mar,$13.990,$10.990,Oferta,https://www.ludi.cl/producto/dados-pato-mar/
Cabalas,$15.990,,,https://www.ludi.cl/producto/cabalas/
¡No Puedo Parar!,$19.990,,,https://www.ludi.cl/producto/no-puedo-parar/
Micro Macro Crime City: Bonus Box,$34.990,,,https://www.ludi.cl/producto/micro-macro-crime-city-bonus-box/
Dragon Ball Memoarrr!,$22.990,,,https://www.ludi.cl/producto/dragon-ball-memoarrr/
Atomix,$9.990,,,https://www.ludi.cl/producto/atomix/
Bop It Microseries,$13.990,,,https://www.ludi.cl/producto/bop-it-microseries/
Simon Microseries,$13.990,,,https://www.ludi.cl/producto/simon-microseries/
Simón Dice Electrónico,$21.990,,,https://www.ludi.cl/producto/simon-dice-electronico/
Daitoshi,$59.990,$48.990,Oferta,https://www.ludi.cl/producto/daitoshi/
Botanicus,$49.990,$41.990,Agotado,https://www.ludi.cl/producto/botanicus/
Pequeñas Grandes Galaxias,$29.990,,,https://www.ludi.cl/producto/pequenas-grandes-galaxias/
Saboteur 2,$12.990,,,https://www.ludi.cl/producto/saboteur-2/
King Of Tokio Origins,$29.990,,,https://www.ludi.cl/producto/king-of-tokio-origins/
La Conexión Colorado – Barrage,$17.990,,Agotado,https://www.ludi.cl/producto/la-conexion-colorado-barrage/
Black Stories Sexo y Crimenes,$14.990,,,https://www.ludi.cl/producto/black-stories-sexo-y-crimenes/
Nidavellir,$37.990,,,https://www.ludi.cl/producto/nidavellir/
Pokemon TCG Battle Academy (2024) Español,$34.990,,,https://www.ludi.cl/producto/pokemon-tcg-battle-academy-2024-espanol/
7° Mar: Tierras de Fuego y Oro,$43.990,,,https://www.ludi.cl/producto/7-mar-tierras-de-fuego-y-oro/
Arkham Horror RPG Starter Set – El Abismo Insaciable,$34.990,,Agotado,https://www.ludi.cl/producto/arkham-horror-rpg-starter-set-el-abismo-insaciable/
Un puñado de Meeples,$21.990,,,https://www.ludi.cl/producto/un-punado-de-meeples/
Trivia Freak: Fútbol,$14.990,,,https://www.ludi.cl/producto/trivia-freak-futbol/
Marvel Champions – Nightcrawler Hero Pack,$15.990,,,https://www.ludi.cl/producto/marvel-champions-nightcrawler-hero-pack/
El Señor de los Anillos: Duelo por la Tierra Media,$29.990,,Agotado,https://www.ludi.cl/producto/el-senor-de-los-anillos-duelo-por-la-tierra-media/
Arkham Horror LCG – La Conspiración de Innsmouth exp. investigadores,$44.990,,,https://www.ludi.cl/producto/arkham-horror-lcg-la-conspiracion-de-innsmouth-exp-investigadores/
La Morada Maldita y Los Tesoros de Pirita,$15.990,,,https://www.ludi.cl/producto/la-morada-maldita-y-los-tesoros-de-pirita/
Barrio,$15.990,$12.990,Oferta,https://www.ludi.cl/producto/barrio/
Next station: Paris,$16.990,$10.990,Oferta,https://www.ludi.cl/producto/next-station-paris/
Dobble Paw Patrol,$15.990,,,https://www.ludi.cl/producto/dobble-paw-patrol-preventa/
Skull King 2da Edición,$19.990,,Agotado,https://www.ludi.cl/producto/skull-king-2da-edicion/
It´s a Wonderful Kingdom,$37.990,$30.990,Agotado,https://www.ludi.cl/producto/its-a-wonderful-kingdom/
Setup,$29.990,$19.990,Oferta,https://www.ludi.cl/producto/setup/
Top Deck Protector Standard color Blanco,$2.490,,Agotado,https://www.ludi.cl/producto/top-deck-protector-standard-color-blanco/
Top Deck Protector Standard color Azul,$2.490,,Agotado,https://www.ludi.cl/producto/top-deck-protector-standard-color-azul/
Mysterium Kids: el tesoro del capitán Bu,$29.990,,,https://www.ludi.cl/producto/mysterium-kids-el-tesoro-del-capitan-bu/
Trio,$14.990,,Agotado,https://www.ludi.cl/producto/trio/
21 Juegos de Divertinesia,$24.990,$19.990,Oferta,https://www.ludi.cl/producto/21-juegos-de-divertinesia/
Los Libros Del Tiempo,$59.990,$49.990,Oferta,https://www.ludi.cl/producto/los-libros-del-tiempo/
Honey Buzz,$44.990,,Agotado,https://www.ludi.cl/producto/honey-buzz/
MindBug: Primer Contacto Nuevas Criaturas,$14.990,,,https://www.ludi.cl/producto/mindbug-primer-contacto-nuevas-criaturas/
Taco Gatito Pizza,$11.990,,Agotado,https://www.ludi.cl/producto/taco-gatito-pizza/
Dobble Formas y Números,$12.990,,,https://www.ludi.cl/producto/dobble-formas-y-numeros/
Everdell Newleaf,$69.990,,,https://www.ludi.cl/producto/everdell-newleaf/
La Llamada de Cthulhu 7ed – Terror Austral,$44.990,,,https://www.ludi.cl/producto/la-llamada-de-cthulhu-7ed-terror-austral/
Mi Pequeño Scythe,$49.990,,,https://www.ludi.cl/producto/mi-pequeno-scythe/
Exploding Kittens El Bien Contra el Mal,$21.990,,,https://www.ludi.cl/producto/exploding-kittens-el-bien-contra-el-mal/
Llamagedon,$15.990,$13.990,Oferta,https://www.ludi.cl/producto/llamagedon/
Blockits,$15.990,$12.990,Oferta,https://www.ludi.cl/producto/blockits/
Pathfinder 2ª ed. – Bestiario 2,$59.990,,,https://www.ludi.cl/producto/pathfinder-2a-ed-bestiario-2/
Pathfinder: Malevolencia,$24.990,,,https://www.ludi.cl/producto/pathfinder-malevolencia/
Rallyman GT: Team Challenge,$19.990,,,https://www.ludi.cl/producto/rallyman-gt-team-challenge/
The White Castle,$31.990,,,https://www.ludi.cl/producto/the-white-castle/
Expedición a 5X,$19.990,$14.990,Oferta,https://www.ludi.cl/producto/expedicion-a-5x/
Anda a Lavar,$15.990,,Agotado,https://www.ludi.cl/producto/anda-a-lavar/
Wizard,$12.990,$10.000,Oferta,https://www.ludi.cl/producto/wizard/
3 Ring Circus,$34.990,,,https://www.ludi.cl/producto/3-ring-circus/
¡Campeones!,$21.990,,,https://www.ludi.cl/producto/campeones/
Origins: Los Primeros Constructores + Expansión,$74.990,,,https://www.ludi.cl/producto/origins-los-primeros-constructores-expansion/
El Libro de Nod,$43.990,,,https://www.ludi.cl/producto/el-libro-de-nod/
Notre Dame,$47.990,,,https://www.ludi.cl/producto/notre-dame/
Mazo de Sorte 7º Mar,$23.990,,,https://www.ludi.cl/producto/mazo-de-sorte-7o-mar/
Sangre Nueva – Vampiro: La Mascarada (5ta ed.),$21.990,,Agotado,https://www.ludi.cl/producto/sangre-nueva-vampiro-la-mascarada-5ta-ed/
Camarilla ( Vampiro 5ta ed.),$43.990,,,https://www.ludi.cl/producto/camarilla-vampiro-5ta-ed/
7° Mar: El Imperio de la Media Luna,$43.990,,,https://www.ludi.cl/producto/7-mar-el-imperio-de-la-media-luna/
Wraith: El Olvido – Edición 20° Aniversario,$54.990,$44.990,Agotado,https://www.ludi.cl/producto/wraith-el-olvido-edicion-20-aniversario/
King Of Monster Island,$59.990,,,https://www.ludi.cl/producto/king-of-monster-island/
Happy Little Dinosaurs: Citas Desastrosas,$12.990,,,https://www.ludi.cl/producto/happy-little-dinosaurs-citas-desastrosas/
Riverboat,$49.990,$39.990,Oferta,https://www.ludi.cl/producto/riverboat/
Arte Moderno,$24.990,,Agotado,https://www.ludi.cl/producto/arte-moderno/
El Señor de los Anillos – La Batalla por La Tierra Media,$9.990,,Agotado,https://www.ludi.cl/producto/el-senor-de-los-anillos-la-batalla-por-la-tierra-media/
El Valle del Viento Helado nº 01/03 La piedra de cristal,$18.990,,,https://www.ludi.cl/producto/el-valle-del-viento-helado-no-01-03-la-piedra-de-cristal/
Star Wars. The High Republic. Entre las sombras,$15.990,,,https://www.ludi.cl/producto/star-wars-the-high-republic-entre-las-sombras/
Cat in the Box,$27.990,,Agotado,https://www.ludi.cl/producto/cat-in-the-box/
D&D: Honor entre ladrones. El camino a Neverwinter.,$19.990,,,https://www.ludi.cl/producto/dungeons-dragons-honor-entre-ladrones-el-camino-a-neverwinter/
Holi,$49.990,$35.990,Oferta,https://www.ludi.cl/producto/holi/
El Anillo Único (1ra Ed.) – Juramentos de la Marca de Los Jinetes,$24.990,,,https://www.ludi.cl/producto/el-anillo-unico-1ra-ed-juramentos-de-la-marca-de-los-jinetes/
Keystone: Norteamerica,$48.990,$39.990,Oferta,https://www.ludi.cl/producto/keystone-norteamerica/
The Guild of Merchant Explorers,$51.990,$42.990,Oferta,https://www.ludi.cl/producto/the-guild-of-merchant-explorers/
Aventuras en Rokugán,$49.990,,,https://www.ludi.cl/producto/aventuras-en-rokugan-preventa/
That Time you Killed Me,$59.990,$49.990,Oferta,https://www.ludi.cl/producto/that-time-you-killed-me/
Exit: El señor de los Anillos,$14.990,,,https://www.ludi.cl/producto/exit-el-senor-de-los-anillos/
Ierusalem Anno Domini,$49.990,,,https://www.ludi.cl/producto/ierusalem-anno-domini/
El beso de la muerte,$17.990,,,https://www.ludi.cl/producto/el-beso-de-la-muerte/
Marvel Champions Game Mat – Spider-Woman,$22.990,,,https://www.ludi.cl/producto/marvel-champions-game-mat-spider-woman/
Ganges,$49.990,$42.990,Oferta,https://www.ludi.cl/producto/ganges/
Namiji,$39.990,,,https://www.ludi.cl/producto/namiji/
Caverna: Caverna vs Caverna,$38.990,$29.990,Oferta,https://www.ludi.cl/producto/caverna-caverna-vs-caverna/
Happy Little Dinosaurs: Los peligros de la Pubertad,$12.990,,,https://www.ludi.cl/producto/happy-little-dinosaurs-los-peligros-de-la-pubertad/
Zombicide Dark Knight Metal,$24.990,,,https://www.ludi.cl/producto/zombicide-dark-knight-metal/
Regicide,$9.990,,,https://www.ludi.cl/producto/regicide/
Regine,$9.990,,,https://www.ludi.cl/producto/regine/
Puro Chamullo!,$15.990,,,https://www.ludi.cl/producto/puro-chamullo/
Carcassonne: Expansión mini regalos,$7.990,,,https://www.ludi.cl/producto/carcassonne-expansion-mini-regalos/
El Ansia,$54.990,,,https://www.ludi.cl/producto/el-ansia/
Linko,$12.990,,Agotado,https://www.ludi.cl/producto/linko/
Carrera Carroña,$12.990,$9.990,Oferta,https://www.ludi.cl/producto/carrera-carrona/
Lacrimosa,$64.990,$55.990,Oferta,https://www.ludi.cl/producto/lacrimosa/
