title,original_price,current_price,stock_status,url
Anarchy Pancakes,$ 16.000,,,https://www.thirdimpact.cl/product/anarchy-pancakes
"Curao, Volao o Weón (Este Juego es la Raja)",$ 20.000,$ 17.000,Oferta,https://www.thirdimpact.cl/product/curao-volao-o-weon-este-juego-es-la-raja
¡Aventureros al Tren! El Corazón de África,$ 27.000,$ 17.000,Oferta,https://www.thirdimpact.cl/product/aventureros-al-tren-el-corazon-de-africa
Spies & Lies: A Stratego Story,$ 18.000,,,https://www.thirdimpact.cl/product/spies-lies-a-stratego-story
En una Escala de 1 a T-Rex,$ 20.000,$ 18.000,Oferta,https://www.thirdimpact.cl/product/en-una-escala-de-1-a-t-rex
Exploding Kittens: El Bien contra el Mal,$ 22.000,$ 18.000,Oferta,https://www.thirdimpact.cl/product/exploding-kittens-el-bien-contra-el-mal
Dice Throne Bárbaro vs Elfa Lunar,$ 34.000,$ 18.000,Oferta,https://www.thirdimpact.cl/product/dice-throne-barbaro-vs-elfa-lunar
Dice Throne Monje vs Paladín,$ 34.000,$ 18.000,Oferta,https://www.thirdimpact.cl/product/dice-throne-monje-vs-paladin
Mr. Wolf,$ 20.000,,,https://www.thirdimpact.cl/product/mr-wolf
Block Block Burrito: Expansión,$ 20.000,,,https://www.thirdimpact.cl/product/block-block-burrito-expansion
Dixit: Journey,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-journey
Dixit: Memories,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-memories
Dixit: Daydreams,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-daydreams
Dixit: Mirrors,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-mirrors
Dixit: Origins,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-origins
Dixit: Harmonies,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-harmonies
Dixit: Aniversario,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-aniversario
Dixit: Quest,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-quest
Dixit: Revelations,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-revelations
Namiji: Aguamarina Expansión,$ 20.000,,,https://www.thirdimpact.cl/product/namiji-aguamarina-expansion
Throw Throw Burrito: Edición Original,$ 25.000,$ 20.000,Oferta,https://www.thirdimpact.cl/product/throw-throw-burrito-edicion-original
Stratego (Original),$ 35.000,$ 20.000,Oferta,https://www.thirdimpact.cl/product/stratego-original
¡Aventureros al Tren! Asia,$ 34.000,$ 24.000,Oferta,https://www.thirdimpact.cl/product/aventureros-al-tren-asia
¡Aventureros al Tren! India,$ 34.000,$ 24.000,Oferta,https://www.thirdimpact.cl/product/aventureros-al-tren-india
Concept Kids: Animales,$ 25.000,,,https://www.thirdimpact.cl/product/concept-kids-animales
Cthulhu Confidential,$ 40.000,$ 25.000,Oferta,https://www.thirdimpact.cl/product/cthulhu-confidential
Agricola Animales en la Granja,$ 35.000,$ 25.000,Oferta,https://www.thirdimpact.cl/product/agricola-animales-en-la-granja
7 Wonders: Cities,$ 27.000,,,https://www.thirdimpact.cl/product/7-wonders-cities
Marvel United: El Ascenso de Black Panther,$ 27.000,,,https://www.thirdimpact.cl/product/marvel-united-el-ascenso-de-black-panther
Pandemic Iberia,$ 49.000,$ 29.000,Oferta,https://www.thirdimpact.cl/product/pandemic-iberia
Dixit: Juego Base (Nueva Edición),$ 30.000,,,https://www.thirdimpact.cl/product/dixit-juego-base-nueva-edicion
Dixit: Odyssey Refresh,$ 30.000,,,https://www.thirdimpact.cl/product/dixit-odyssey-refresh
Evergreen,$ 50.000,$ 30.000,Oferta,https://www.thirdimpact.cl/product/evergreen
¡Aventureros al Tren! Francia (+ El Viejo Oeste),$ 43.000,$ 33.000,Oferta,https://www.thirdimpact.cl/product/aventureros-al-tren-francia-el-viejo-oeste
Dixit: Disney Edition,$ 34.000,,,https://www.thirdimpact.cl/product/dixit-disney-edition
Concept Base,$ 35.000,,,https://www.thirdimpact.cl/product/concept-base
Namiji,$ 40.000,$ 35.000,Oferta,https://www.thirdimpact.cl/product/namiji
¡Aventureros al Tren! Europa,$ 45.000,$ 35.000,Oferta,https://www.thirdimpact.cl/product/aventureros-al-tren-europa
Alma Mater Base,$ 60.000,$ 35.000,Oferta,https://www.thirdimpact.cl/product/alma-mater-base
Scooby-Doo el juego de mesa,$ 60.000,$ 35.000,Oferta,https://www.thirdimpact.cl/product/scooby-doo-el-juego-de-mesa
Azul (Base),$ 45.000,$ 37.000,Oferta,https://www.thirdimpact.cl/product/azul-base
Azul: Master Chocolatier,$ 45.000,$ 37.000,Oferta,https://www.thirdimpact.cl/product/azul-master-chocolatier
Marvel United (Base),$ 40.000,,,https://www.thirdimpact.cl/product/marvel-united-base
7 Wonders,$ 48.000,$ 44.000,Oferta,https://www.thirdimpact.cl/product/7-wonders
Azul: Jardín de la Reina,$ 45.000,,,https://www.thirdimpact.cl/product/azul-jardin-de-la-reina
Azul: Pabellón de Verano,$ 45.000,,,https://www.thirdimpact.cl/product/azul-pabellon-de-verano
Azul: Vitrales de Sintra,$ 45.000,,,https://www.thirdimpact.cl/product/azul-vitrales-de-sintra
¡Aventureros al Tren! America,$ 45.000,,,https://www.thirdimpact.cl/product/aventureros-al-tren-america
