title,original_price,current_price,stock_status,url
Ensalada de Puntos,$ 11.000,$ 10.000,Oferta,https://www.thirdimpact.cl/product/ensalada-de-puntos
Winter: Four Seasons,$ 10.000,,,https://www.thirdimpact.cl/product/winter-four-seasons
Yokai Sketch,$ 10.000,,,https://www.thirdimpact.cl/product/yokai-sketch
Taco Gorro Torta Caja Pizza,$ 12.000,,,https://www.thirdimpact.cl/product/taco-gorro-torta-caja-pizza
El Abejorro Tramposo,$ 13.000,$ 12.000,Oferta,https://www.thirdimpact.cl/product/el-abejorro-tramposo
Fast Food Fear!,$ 15.000,$ 12.000,Oferta,https://www.thirdimpact.cl/product/fast-food-fear
Sushi GO!,$ 13.000,,,https://www.thirdimpact.cl/product/sushi-go
Mind Bug,$ 18.000,$ 15.000,Oferta,https://www.thirdimpact.cl/product/mind-bug
Panic Lab,$ 15.000,,,https://www.thirdimpact.cl/product/panic-lab
Savernake Forest,$ 20.000,$ 17.000,Oferta,https://www.thirdimpact.cl/product/savernake-forest
Virus,$ 20.000,$ 17.000,Oferta,https://www.thirdimpact.cl/product/virus
Silk,$ 23.000,$ 19.000,Oferta,https://www.thirdimpact.cl/product/silk
Los Tesoros del Rey Pirata,$ 20.000,,,https://www.thirdimpact.cl/product/los-tesoros-del-rey-pirata
Quarto,$ 20.000,,,https://www.thirdimpact.cl/product/quarto
Pylos,$ 21.000,,,https://www.thirdimpact.cl/product/pylos
Pirate Box,$ 22.000,,,https://www.thirdimpact.cl/product/pirate-box
Carcassonne (Base),$ 24.000,,,https://www.thirdimpact.cl/product/carcassonne-base
Catan: El Duelo,$ 25.000,,,https://www.thirdimpact.cl/product/catan-el-duelo
Código Secreto: Imágenes,$ 25.000,,,https://www.thirdimpact.cl/product/codigo-secreto-imagenes
King of Tokyo (2da Edición),$ 30.000,$ 25.000,Oferta,https://www.thirdimpact.cl/product/king-of-tokyo-2da-edicion
La Escalera Encantada,$ 28.000,,,https://www.thirdimpact.cl/product/la-escalera-encantada
El Laberinto Mágico,$ 33.000,$ 29.000,Oferta,https://www.thirdimpact.cl/product/el-laberinto-magico
Catan: Edición de Viaje,$ 30.000,,,https://www.thirdimpact.cl/product/catan-edicion-de-viaje
El Monstruo de Colores,$ 30.000,,,https://www.thirdimpact.cl/product/el-monstruo-de-colores
Catan: El Juego,$ 35.000,,,https://www.thirdimpact.cl/product/catan-el-juego
Ubongo! Classic,$ 35.000,,,https://www.thirdimpact.cl/product/ubongo-classic
King of New York,$ 40.000,$ 35.000,Oferta,https://www.thirdimpact.cl/product/king-of-new-york
