title,original_price,current_price,stock_status,url
7 Wonders Dice,$30.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/7-wonders-dice
One Piece Nakama - Amigos y Enemigos,$27.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/one-piece-nakama-amigos-y-enemigos
Monkey Palace,$40.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/monkey-palace
Arkham Horror,$74.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/arkham-horror-1
Tal´Dorei Renacido,$50.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/tal-dorei-renacido
Dorf Romantik,$47.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/dorfromantik
Mastermind,$17.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/mastermind
Heat,$65.000,$62.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/heat
Dune Imperium,$58.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/dune-imperium
Catan: Mini expansión Santa Claus,$15.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/catan-miniexpansion-santa-claus
Polaris,$35.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/polaris
Nebula,$35.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/nebula
Kings Gold,$20.000,$17.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/kings-gold
El Anillo Único - Caja de Iniciación,$50.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/el-anillo-unico
Trama,$28.000,$21.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/trama
Next Station: Tokyo,$17.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/next-station-tokyo
Marrakech,$32.000,$27.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/marrakech
La Bestia no debe Nacer,$31.000,$24.800,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/la-bestia-no-debe-nacer
Clink,$25.000,$18.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/clink
Dragones de Mar,$35.000,$32.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/sin-nombre-1feb_17-52
Platypus,$25.000,$18.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/platyplus
Wizard,$13.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/wizard
