title,original_price,current_price,stock_status,url
5 Minute Dungeon – El frenético juego cooperativo donde solo tienen cinco minutos para salvar el reino,"$31,900",,,https://www.cafe2d6.cl/collections/all/products/5-minute-dungeon
5 Minute Mystery,"$35,900",,Agotado,https://www.cafe2d6.cl/collections/all/products/5-minute-mystery
7 Wonders Dice,"$31,900",,Agotado,https://www.cafe2d6.cl/collections/all/products/7-wonders-dice
"7 Wonders Duel: Lord of the Rings – Duelo por la Tierra Media | Juego de Estrategia para 2 Jugadores, Inspirado en El Señor de los Anillos","$31,900",,,https://www.cafe2d6.cl/collections/all/products/7-wonders-duel-lotr-duelo-por-la-tierra-media
Asesino en Serie - Juego de cartas de roles ocultos sobre asesinos en serie,"$19,900",,Agotado,https://www.cafe2d6.cl/collections/all/products/asesino-en-serie
Aventureros al Tren Europa – Juego de mesa de estrategia y rutas ferroviarias,"$47,900",,Agotado,https://www.cafe2d6.cl/collections/all/products/aventureros-al-tren-europa
"Aventureros al Tren Europa: Expansión 1912 – Más rutas, más boletos y nuevas estrategias","$19,900",,,https://www.cafe2d6.cl/collections/all/products/aventureros-al-tren-europa-expansion-1912
Aventureros al Tren USA: Expansión 1910 – Renueva tus partidas con nuevas rutas y cartas,"$19,900",,,https://www.cafe2d6.cl/collections/all/products/aventureros-al-tren-usa-expansion-1910
Aventureros al Tren – El clásico juego de mesa de trenes que conquistó al mundo,"$50,200",,,https://www.cafe2d6.cl/collections/all/products/aventureros-al-tren
"Bookshelf – Juego de mesa familiar de patrones, colección y organización","$25,900",,Agotado,https://www.cafe2d6.cl/collections/all/products/bookshelf
Brass: Lancashire – Juego de Mesa de Industria y Motor Económico,"$65,900",,,https://www.cafe2d6.cl/collections/all/products/brass-lancashire
Cakes! – Prepara los mejores pasteles antes que los demás,"$28,200",,,https://www.cafe2d6.cl/collections/all/products/cakes
Calico – Juego de Mesa de Patchwork y Colección de Patrones,"$38,900",,,https://www.cafe2d6.cl/collections/all/products/calico
Carcassonne – Juego de mesa de estrategia y colocación de losetas,"$31,900","$29,900",Agotado,https://www.cafe2d6.cl/collections/all/products/carcassonne
Cascadia,"$54,500",,,https://www.cafe2d6.cl/collections/all/products/cascadia
Catan ampliación para 5-6 jugadores,"$30,900","$26,900",Oferta,https://www.cafe2d6.cl/collections/all/products/catan-ampliacion-5-6-jugadores
Catan Mercaderes y Bárbaros – Expansión modular de escenarios,"$37,900","$35,900",Oferta,https://www.cafe2d6.cl/collections/all/products/catan-mercaderes-y-barbaros
Catan Piratas y Exploradores – Expansión de exploración avanzada,"$41,900",,,https://www.cafe2d6.cl/collections/all/products/catan-piratas-y-exploradores
Catan – Juego de mesa de estrategia y negociación,"$36,900","$29,990",Oferta,https://www.cafe2d6.cl/collections/all/products/catan
Century La Ruta de las Especias,"$36,900","$15,900",Agotado,https://www.cafe2d6.cl/collections/all/products/century
"Código Secreto – Juego de mesa de palabras, deducción y trabajo en equipo","$24,100",,Agotado,https://www.cafe2d6.cl/collections/all/products/codigo-secreto
Coffee Rush,"$41,990","$36,900",Oferta,https://www.cafe2d6.cl/collections/all/products/coffee-rush
Cortex Challenge 2,"$15,900",,,https://www.cafe2d6.cl/collections/all/products/cortex-challenge-2
Dixit Odyssey – Juego de mesa de imaginación para grupos y familias,"$31,900",,,https://www.cafe2d6.cl/collections/all/products/dixit-odyssey
"Dixit – Juego de mesa de imaginación, creatividad y narración","$33,900","$31,900",Oferta,https://www.cafe2d6.cl/collections/all/products/dixit
dnup – El ingenioso juego de cartas donde cambiar tu mano puede cambiar la partida,"$14,900",,,https://www.cafe2d6.cl/collections/all/products/dnup
Dobble – Juego de mesa de observación y rapidez visual,"$12,900",,,https://www.cafe2d6.cl/collections/all/products/dobble
