title,original_price,current_price,stock_status,url
La Feria de las Pulgas de Titirilquen,"$14,990",,,https://www.elpatiogeek.cl/products/la-feria-de-las-pulgas-de-titirilquen
Hitster Bingo,"$39,990",,,https://www.elpatiogeek.cl/products/hitster-bingo
Hitster Temazos,"$24,990",,,https://www.elpatiogeek.cl/products/hitster-temazos
Funda Stronghold Standard (63.5 x 88 mm),"$2,490",,,https://www.elpatiogeek.cl/products/funda-stronghold-standard-63-5mm-x-88mm
Amigos de Mierda 2,"$12,990",,,https://www.elpatiogeek.cl/products/amigos-de-mierda-2
Mala Leche Original,"$24,990",,,https://www.elpatiogeek.cl/products/mala-leche-original
Donde Las Papas Queman,"$15,990",,,https://www.elpatiogeek.cl/products/donde-las-papas-queman
Mala Leche con Plátano,"$24,990",,,https://www.elpatiogeek.cl/products/mala-leche-con-platano
Hitster Latino,"$24,990",,,https://www.elpatiogeek.cl/products/hitster-latino
Dobble Blister Eco,"$11,990",,,https://www.elpatiogeek.cl/products/dobble-blister-eco
Curao' Volao' o Weón,"$19,990",,,https://www.elpatiogeek.cl/products/curao-volao-o-weon
Telestrations Refresh,"$29,990",,,https://www.elpatiogeek.cl/products/telestrations
Taco Gato Cabra Queso Pizza,"$11,990",,,https://www.elpatiogeek.cl/products/taco-gato-cabra-queso-pizza
Hitster,"$24,990",,,https://www.elpatiogeek.cl/products/hitster
¿Quién fue?,"$12,990",,,https://www.elpatiogeek.cl/products/quien-fue
Exploding Kittens Base,"$21,990",,,https://www.elpatiogeek.cl/products/exploding-kittens
Cortex Challenge,"$14,990",,,https://www.elpatiogeek.cl/products/cortex-challenge
Chupilca! Yo Nunca Hot,"$10,990",,,https://www.elpatiogeek.cl/products/chupilca-yo-nunca-hot
Funda Stronghold Standard American/Quimera (57.5 x 89 mm),"$2,490",,,https://www.elpatiogeek.cl/products/funda-stronghold-standard-american-quimera-57-5mm-x-89mm
Pistas Cruzadas,"$16,990",,,https://www.elpatiogeek.cl/products/pistas-cruzadas
Cuentero,"$15,990",,,https://www.elpatiogeek.cl/products/cuentero
Funda Stronghold Standard American (56  x 87 mm),"$2,490",,,https://www.elpatiogeek.cl/products/fundas-stronghold-standard-true-american-56mm-x-87mm
Dobble Harry Potter,"$15,990",,,https://www.elpatiogeek.cl/products/dobble-harry-potter
Pelusas,"$12,990",,,https://www.elpatiogeek.cl/products/pelusas
Polilla Tramposa,"$15,990",,,https://www.elpatiogeek.cl/products/polilla-tramposa
Saboteur,"$12,990",,,https://www.elpatiogeek.cl/products/saboteur
Exploding Kittens: Recetas del Desastre,"$33,990",,,https://www.elpatiogeek.cl/products/exploding-kittens-recetas-del-desastre
Coffee Rush,"$34,990",,,https://www.elpatiogeek.cl/products/coffee-rush
Dobble 31 Minutos,"$15,990",,,https://www.elpatiogeek.cl/products/dobble-31-minutos
7 Wonders Duel,"$26,990",,,https://www.elpatiogeek.cl/products/7wondersduel
Tranvía Mortal,"$24,990",,,https://www.elpatiogeek.cl/products/tranvia-mortal
Unstable Unicorns,"$21,990","$19,990",Oferta,https://www.elpatiogeek.cl/products/unstable-unicorns
"Promociones, nuevos productos y ventas. Directamente a tu bandeja de entrada.",,,,
Cortex Challenge 2,"$14,990",,,https://www.elpatiogeek.cl/products/cortex-challenge-2
Chromino Smallbox,"$16,990",,,https://www.elpatiogeek.cl/products/chromino-smallbox
What Do You Meme? Edición Latina,"$29,990",,,https://www.elpatiogeek.cl/products/what-do-you-meme-edicion-latina
Juego De Expresiones Cambia Caras (Cubos),"$14,990","$9,990",Oferta,https://www.elpatiogeek.cl/products/juego-de-expresiones-cambia-caras
Taco Gorro Torta Caja Pizza,"$11,990",,,https://www.elpatiogeek.cl/products/taco-gorro-torta-caja-pizza
Happy Little Dinosaurs,"$21,990",,,https://www.elpatiogeek.cl/products/happy-little-dinosaurs
Dobble,"$14,990",,,https://www.elpatiogeek.cl/products/dobble
Exploding Kittens: Party Pack,"$29,990",,,https://www.elpatiogeek.cl/products/copia-de-exploding-kittens-base
Océanos de Papel,"$12,990",,,https://www.elpatiogeek.cl/products/oceanos-de-papel
Mal Trago,"$15,990",,,https://www.elpatiogeek.cl/products/mal-trago
Chupilca! Charadas,"$10,990",,,https://www.elpatiogeek.cl/products/chupilca-charadas
No Lo Testeamos Ni Un Poco,"$12,990",,,https://www.elpatiogeek.cl/products/no-lo-testeamos-ni-un-poco
Trio,"$14,990",,,https://www.elpatiogeek.cl/products/juego-trio
Ilari Ilarié Cántalo,"$19,990",,,https://www.elpatiogeek.cl/products/ilari-ilarie-cantalo
Mala Leche de Marihuana,"$24,990",,,https://www.elpatiogeek.cl/products/mala-leche-de-marihuana
