title,original_price,current_price,stock_status,url,store,norm,_price,_pct,descuento
Wolfenstein,$124.990,$74.990,Oferta,https://playkingdom.cl/wolfenstein,playkingdom,wolfenstein,74990.0,40.0,-40%
AGRICOLA 15 ANIVERSARIO,$119.990,$64.990,Oferta,https://playkingdom.cl/agricola-15-aniversario,playkingdom,agricola 15 aniversario,64990.0,45.8,-46%
Zombicide: Undead or Alive,$102.990,$61.990,Oferta,https://playkingdom.cl/zombicide-undead-or-alive,playkingdom,zombicide undead or alive,61990.0,39.8,-40%
Lacrimosa,$64.990,$51.990,Oferta,https://playkingdom.cl/lacrimosa,playkingdom,lacrimosa,51990.0,20.0,-20%
Vida Salvaje: Serengeti,$59.990,$41.990,Oferta,https://playkingdom.cl/vida-salvaje-serengeti,playkingdom,vida salvaje serengeti,41990.0,30.0,-30%
Suburbia,$62.990,$39.990,Oferta,https://playkingdom.cl/suburbia,playkingdom,suburbia,39990.0,36.5,-36%
Wolfenstein: The Old Blood,$64.990,$39.990,Oferta,https://playkingdom.cl/wolfenstein-the-old-blood,playkingdom,wolfenstein the old blood,39990.0,38.5,-38%
LOONEY TUNES MAYHEM,$59.990,$39.990,Oferta,https://playkingdom.cl/looney-tunes-mayhem,playkingdom,looney tunes mayhem,39990.0,33.3,-33%
Bitoku,$62.990,$37.990,Oferta,https://playkingdom.cl/bitoku,playkingdom,bitoku,37990.0,39.7,-40%
Messina 1347,$62.990,$34.990,Oferta,https://playkingdom.cl/messina-1347,playkingdom,messina 1347,34990.0,44.5,-44%
Boonlake,$67.990,$34.990,Oferta,https://playkingdom.cl/boonlake,playkingdom,boonlake,34990.0,48.5,-48%
Museum,$61.990,$32.990,Oferta,https://playkingdom.cl/museum,playkingdom,museum,32990.0,46.8,-47%
3000 Granujas,$49.990,$32.990,Oferta,https://playkingdom.cl/3000-granujas,playkingdom,3000 granujas,32990.0,34.0,-34%
IKI,$49.990,$29.990,Oferta,https://playkingdom.cl/iki,playkingdom,iki,29990.0,40.0,-40%
SCOOBY-DOO!,$59.990,$29.990,Oferta,https://playkingdom.cl/scooby-doo-el-juego-de-mesa,playkingdom,scooby doo,29990.0,50.0,-50%
Zapotec,$49.990,$29.990,Oferta,https://playkingdom.cl/zapotec,playkingdom,zapotec,29990.0,40.0,-40%
Dune Arrakis,$59.990,$29.990,Oferta,https://playkingdom.cl/dune-arrakis,playkingdom,dune arrakis,29990.0,50.0,-50%
Four Gardens,$49.990,$29.990,Oferta,https://playkingdom.cl/four-gardens,playkingdom,four gardens,29990.0,40.0,-40%
EX LIBRIS,$49.990,$29.990,Oferta,https://playkingdom.cl/ex-libris,playkingdom,ex libris,29990.0,40.0,-40%
