title,original_price,current_price,stock_status,url
Star Realms: Mazos de Mando pack (6 sobres),$24.000,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/star-realms-mazos-de-mando-1
Tank UP,$24.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/tank-up
Dodos Riding Dinos: First Race,$29.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/dodos-riding-dinos-first-race
La carrera más Loca - Librojuego: Mi primera Aventura,$19.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/la-carrera-mas-loca-librojuego-mi-primera-aventura
El ladrón de Huevos - Librojuego: Mi primera Aventura,$19.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/el-ladron-de-huevos-librojuego-mi-primera-aventura
La reina de Floravalle - Librojuego: Mi primera Aventura,$19.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/la-reina-de-floravalle-librojuego-mi-primera-aventura
Caldera Park,$29.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/caldera-park
La Clave Perdida,$29.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/la-clave-perdida
My Shelfie (Español),$36.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/my-shelfie-espanol
Anverso Reverso,$25.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/anverso-reverso
El Jardin de Alicia (Inglés),$21.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/el-jardin-de-alicia-ingles
El Gran Bosque,$23.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/el-gran-bosque
KNOCKDOWN VOLUME III: TAINTED GRAIL (Español),$20.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/knockdown-volume-iii-tainted-grail-espanol
KNOCKDOWN VOLUME I: SIEGE STORM (Español),$20.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/knockdown-volume-i-siege-storm-espanol
Mint Control,$16.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/mint-control
Lords of Ragnarok Español,$169.990,,Disponible,https://www.flexogames.cl/collections/juegos-de-mesa/products/lords-of-ragnarok-espanol
