title,original_price,current_price,stock_status,url
1001 Islas,$18.000,$15.000,Oferta,https://www.griffingames.cl/producto/1001-islas/
3 Ring Circus,$30.000,$25.000,Oferta,https://www.griffingames.cl/producto/3-ring-circus/
3 Ring Circus (Usado),$16.000,,,https://www.griffingames.cl/producto/3-ring-circus-usado/
50 50,$25.000,,,https://www.griffingames.cl/producto/50-50/
7 Wonders Edifice,$25.000,,,https://www.griffingames.cl/producto/7-wonders-edifice/
8Bit Box (Usado),$20.000,,,https://www.griffingames.cl/producto/8bit-box-usado/
Academia Abstracta,$11.000,,,https://www.griffingames.cl/producto/academia-abstracta/
Alebrijes,$15.000,,,https://www.griffingames.cl/producto/alebrijes/
Alhambra,$35.000,$32.000,Oferta,https://www.griffingames.cl/producto/alhambra-edicion-2020/
Alice ha desaparecido: Expansión Silent Falls,$20.000,,,https://www.griffingames.cl/producto/alice-ha-desaparecido-expansion-silent-falls/
Bamboo,$30.000,$25.000,Oferta,https://www.griffingames.cl/producto/12165/
Bandida,$13.000,,,https://www.griffingames.cl/producto/bandida/
Bandido,$13.000,,,https://www.griffingames.cl/producto/12172/
Bang! Explosión de Dados,$38.000,,,https://www.griffingames.cl/producto/bang-explosion-de-dados/
Baraja SPL,$7.000,,,https://www.griffingames.cl/producto/baraja-spl/
Barbecubes,$12.000,,,https://www.griffingames.cl/producto/barbecubes/
Bienvenido de nuevo a la mazmorra,$15.000,,,https://www.griffingames.cl/producto/bienvenido-de-nuevo-a-la-mazmorra/
Blockits,$10.000,$8.000,Oferta,https://www.griffingames.cl/producto/blockits/
Brainbox Animales,$15.000,,,https://www.griffingames.cl/producto/brainbox-animales/
Brainbox El Mundo,$15.000,,,https://www.griffingames.cl/producto/brainbox-el-mundo/
Brass: Lancashire,,,,https://www.griffingames.cl/producto/brass-lancashire/
Carcassonne Expansión 10 Circos y Artistas,$20.000,,,https://www.griffingames.cl/producto/carcassonne-expansion-10-circos-y-artistas/
Carcassonne Expansion 2 Constructores y Comerciantes,$20.000,,,https://www.griffingames.cl/producto/carcassonne-expansion-2-constructores-y-comerciantes/
Carcassonne Expansión 3 Hadas y Dragones,$20.000,,,https://www.griffingames.cl/producto/carcassonne-expansion-3-hadas-y-dragones/
Carcassonne Expansión 4 Torres y Ladrones,$20.000,,,https://www.griffingames.cl/producto/carcassonne-expansion-4-torres-y-ladrones/
Carcassonne Expansión 5 Emisarios y Alcaldes,$20.000,,,https://www.griffingames.cl/producto/carcassonne-expansion-5-emisarios-y-alcaldes/
Carcassonne Expansión 6 Torneos y Blasones,$20.000,,,https://www.griffingames.cl/producto/carcassonne-expansion-6-torneos-y-blasones/
Carcassonne Expansión 7 Asedios y Fortalezas,$20.000,,,https://www.griffingames.cl/producto/carcassonne-expansion-7-asedios-y-fortalezas/
Carcassonne Expansión 8 Puentes y Castillos,$20.000,,,https://www.griffingames.cl/producto/carcassonne-expansion-8-puentes-y-castillos/
Carcassonne Expansión 9 Viñas y Ovejas,$20.000,,,https://www.griffingames.cl/producto/carcassonne-expansion-9-vinas-y-ovejas/
Carcassonne Expansión Constructores y Comerciantes,$15.000,,,https://www.griffingames.cl/producto/carcassonne-expansion-constructores-y-comerciantes/
Carcassonne Expansión La Abadía y el Alcalde,$15.000,,,https://www.griffingames.cl/producto/carcassonne-expansion-la-abadia-y-el-alcalde/
Carcassonne Expansión La Torre,$17.000,,,https://www.griffingames.cl/producto/carcassonne-expansion-la-torre/
