title,original_price,current_price,stock_status,url
¡A Prueba de Retos!,$29.990,,,https://www.ludipuerto.cl/producto/a-prueba-de-retos/
Abalone Go,$12.990,,,https://www.ludipuerto.cl/producto/abalone-go/
Akropolis,$24.990,,,https://www.ludipuerto.cl/producto/akropolis/
ALAKABLAST,$12.990,$10.990,Oferta,https://www.ludipuerto.cl/producto/alakablast/
AMIGOS DE MIERDA,$15.990,,,https://www.ludipuerto.cl/producto/amigos-de-mierda/
AMIGOS DE MIERDA 2,$15.990,,,https://www.ludipuerto.cl/producto/amigos-de-mierda-2/
Anarchy Pancakes,$15.990,,,https://www.ludipuerto.cl/producto/anarchy-pancakes/
ARKHAM HORROR RPG STARTER SET EL ABISMO INSACIABLE,$34.990,,,https://www.ludipuerto.cl/producto/arkham-horror-rpg-starter-set-el-abismo-insaciable/
Arte Moderno,$24.990,,,https://www.ludipuerto.cl/producto/arte-moderno/
Aventureros al Tren Norte America,$44.990,,,https://www.ludipuerto.cl/producto/aventureros-al-tren-norte-america/
Azul,$39.990,,,https://www.ludipuerto.cl/producto/azul/
Azul Duel,$26.990,,,https://www.ludipuerto.cl/producto/azul-duel/
AZUL MASTER CHOCOLATIER,$44.990,,,https://www.ludipuerto.cl/producto/azul-master-chocolatier/
Bananagrams,$16.990,,,https://www.ludipuerto.cl/producto/bananagrams/
Bandida,$12.990,,,https://www.ludipuerto.cl/producto/bandida/
Bang! El juego de dados,$19.990,,,https://www.ludipuerto.cl/producto/bang-el-juego-de-dados/
Bang! Explosión de Dados,$44.990,,,https://www.ludipuerto.cl/producto/bang-explosion-de-dados/
Barking Kittens,$15.990,,,https://www.ludipuerto.cl/producto/barking-kittens/
Beez,$39.990,$37.990,Oferta,https://www.ludipuerto.cl/producto/beez/
Bounty Hunters,$19.990,,,https://www.ludipuerto.cl/producto/bounty-hunters/
BrainBox Animales,$16.990,,,https://www.ludipuerto.cl/producto/brainbox-animales/
BrainBox Dinosaurios,$16.990,,,https://www.ludipuerto.cl/producto/brainbox-dinosaurios/
BrainBox Harry Potter,$16.990,,,https://www.ludipuerto.cl/producto/brainbox-harry-potter/
Brick Like This,$19.990,,,https://www.ludipuerto.cl/producto/brick-like-this/
Burger ¡Ya!,$11.990,,,https://www.ludipuerto.cl/producto/burger-ya/
Burrito Battle Pack,$10.990,,,https://www.ludipuerto.cl/producto/burrito-battle-pack/
Cacao Juego de Mesa,$24.990,,,https://www.ludipuerto.cl/producto/cacao-juego-de-mesa/
Carcassonne Amazonas,$28.990,,,https://www.ludipuerto.cl/producto/carcassonne-amazonas/
Carcassonne Colinas y ovejas 2da edición,$15.990,,,https://www.ludipuerto.cl/producto/carcassonne-colinas-y-ovejas-2da-edicion/
CARCASSONNE EXPANSION: LA ABADIA Y EL ALCALDE (2DA EDICION),$17.990,,,https://www.ludipuerto.cl/producto/carcassonne-expansion-la-abadia-y-el-alcalde-2da-edicion/
Carcassonne Mercados y Puentes,$15.990,,,https://www.ludipuerto.cl/producto/carcassonne-mercados-y-puentes/
Carcassonne: La Princesa y el Dragon,$15.990,,,https://www.ludipuerto.cl/producto/carcassonne-la-princesa-y-el-dragon/
CATAN BASICO AMPLIACIÓN 5-6 JUGADORES,$25.990,,,https://www.ludipuerto.cl/producto/catan-basico-expansion-5-6-jugadores/
Catan El Duelo,$24.990,,,https://www.ludipuerto.cl/producto/catan-el-duelo/
Catan El Duelo Expansión Eras Oscuras Eras Doradas,$24.990,,,https://www.ludipuerto.cl/producto/catan-el-duelo-expansion-eras-oscuras-eras-doradas/
Catan el Juego de Cartas,$11.990,,,https://www.ludipuerto.cl/producto/catan-el-juego-de-cartas/
Catan Energías,$59.990,,,https://www.ludipuerto.cl/producto/preventa-catan-energias/
Catan Navegantes Ampliación 5-6 jugadores,$27.990,,,https://www.ludipuerto.cl/producto/catan-navegantes-ampliacion-5-6-jugadores/
Catan Piratas y Exploradores Ampliación 5-6 jugadores,$24.990,,,https://www.ludipuerto.cl/producto/catan-piratas-y-exploradores-ampliacion-5-6-jugadores/
