title,original_price,current_price,stock_status,url
La Feria de las Pulgas de Titirilquén,$ 14.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/la-feria-de-las-pulgas-de-titirilquen
Azul,$ 39.990,,Agotado,https://manahouse.cl/collections/juegos-de-mesa/products/azul
Spicy,$ 16.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/spicy
Heat,$ 62.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/heat
Munchkin,$ 25.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/munchkin
The Mind,$ 12.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/the-mind
Munchkin 2: Hacha Descomunal,$ 14.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/munchkin-2-hacha-descomunal
El Señor de los Anillos: El Duelo por la Tierra Media,$ 29.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/el-senor-de-los-anillos-el-duelo-por-la-tierra-media
Criaturas de las Sombras,$ 31.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/criaturas-de-las-sombras
Here to Slay,$ 24.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/here-to-slay
The Island,$ 29.990,,Agotado,https://manahouse.cl/collections/juegos-de-mesa/products/the-island
Doggy Style (2da Edición),$ 14.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/doggy-style
Corruptia,$ 21.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/corruptia
Deep Sea Adventure,Desde $ 18.990,,Agotado,https://manahouse.cl/collections/juegos-de-mesa/products/deep-sea-adventure
El Señor de los Anillos: El Destino de la Comunidad,$ 69.990,,Agotado,https://manahouse.cl/collections/juegos-de-mesa/products/el-senor-de-los-anillos-el-destino-de-la-comunidad
SETI: En Busca de Vida Extraterrestre,$ 69.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/seti-en-busca-de-vida-extraterrestre
Coffee Rush,$ 34.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/coffee-rush
Munchkin 3: Pifias Clericales,$ 14.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/munchkin-3-pifias-clericales
Survive The Island,$ 27.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/survive-the-island
Jaipur,$ 19.990,,Agotado,https://manahouse.cl/collections/juegos-de-mesa/products/jaipur
So Clover!,$ 14.990,,Agotado,https://manahouse.cl/collections/juegos-de-mesa/products/so-clover
Donde Las Papas Queman (3ra Edición),$ 15.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/donde-las-papas-queman
Bandido,$ 12.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/bandido
Pelusas: Revolution,$ 14.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/pelusas-revolution
Flip 7,$ 16.990,,Agotado,https://manahouse.cl/collections/juegos-de-mesa/products/flip-7
Sky Team: Turbulence,$ 11.990,,Agotado,https://manahouse.cl/collections/juegos-de-mesa/products/sky-team-turbulence
MicroMacro: Crime City,$ 35.990,,,https://manahouse.cl/collections/juegos-de-mesa/products/micromacro-crime-city
Viernes,$ 17.990,,Agotado,https://manahouse.cl/collections/juegos-de-mesa/products/viernes
