title,original_price,current_price,stock_status,url
Flip 7,$16.990,,,https://mangaigames.cl/producto/flip-7/
[Preventa] Hitster Chile,$24.990,,,https://mangaigames.cl/producto/hitster-chile/
Cosmo,$12.990,,,https://mangaigames.cl/producto/cosmo/
Pichanga: Trivia de Fútbol,$19.990,,,https://mangaigames.cl/producto/pichanga-trivia-de-futbol/
Cómo Conocí a tu Serie,$19.990,,,https://mangaigames.cl/producto/como-conoci-a-tu-serie/
Blockbuster – Edición Retro,$24.990,,,https://mangaigames.cl/producto/blockbuster-edicion-retro/
Oráculo Loco,$21.990,,,https://mangaigames.cl/producto/oraculo-loco/
Omelette Express,$19.990,,,https://mangaigames.cl/producto/omelette-express/
Hazme Un Planeta,$21.990,,,https://mangaigames.cl/producto/hazme-un-planeta/
Pokemon TCG First Partner Illustration Collection – Series 3 (Inglés),$39.990,$33.990,Agotado,https://mangaigames.cl/producto/first-partner-illustration-collection-serie-3/
Barbecubes,$11.990,,,https://mangaigames.cl/producto/barbecubes/
Tinderblox,$11.990,,,https://mangaigames.cl/producto/tinderblox/
El Taller de Papá Noel,$24.990,,,https://mangaigames.cl/producto/el-taller-de-papa-noel/
Dragon Eclipse,$209.990,,,https://mangaigames.cl/producto/dragon-eclipse/
Virus! Marvel,$22.990,,,https://mangaigames.cl/producto/virus-marvel/
The Russian Campaign,$37.990,,,https://mangaigames.cl/producto/the-russian-campaign/
Through the Desert,$34.990,,,https://mangaigames.cl/producto/through-the-desert/
Código Secreto Regreso a Hogwarts,$34.990,$31.990,Oferta,https://mangaigames.cl/producto/codigo-secreto-regreso-a-hogwarts/
The Island,$29.990,,,https://mangaigames.cl/producto/the-island/
Mega Evolution Pitch Black Elite Trainer Box Ingles,$67.990,,Agotado,https://mangaigames.cl/producto/mega-evolution-pitch-black-elite-trainer-box-ingles/
Twin it Japan,$14.990,,,https://mangaigames.cl/producto/twin-it-japan/
Dobble Super Mario,$16.990,,,https://mangaigames.cl/producto/dobble-super-mario/
Harmonies,$32.990,,,https://mangaigames.cl/producto/harmonies/
Curao Volao o Weón,$19.990,,,https://mangaigames.cl/producto/curao-volao-o-weon/
Piensa Rápido,$19.990,,Agotado,https://mangaigames.cl/producto/piensa-rapido/
Mesa Para Dos,$19.990,,,https://mangaigames.cl/producto/mesa-para-dos/
Kittin,$12.990,,Agotado,https://mangaigames.cl/producto/kittin/
69: Un Juego para traviesos,$15.990,,,https://mangaigames.cl/producto/69-un-juego-para-traviesos/
Pokemon TCG – Mega Greninja ex Premium Collection Inglés,$55.990,$49.990,Oferta,https://mangaigames.cl/producto/mega-greninja-ex-premium-collection/
Cthulhu: Death May Die – Godzilla,$24.990,,Agotado,https://mangaigames.cl/producto/cthulhu-death-may-die-godzilla/
Pokemon TCG First Partner Illustration Collection – Serie 2 (Inglés),$25.990,,Agotado,https://mangaigames.cl/producto/pokemon-tcg-first-partner-illustration-collection-series-2-ingles/
Cthulhu: Death May Die,$119.990,,,https://mangaigames.cl/producto/cthulhu-death-may-die/
Regroup Chicken Army,$13.990,,,https://mangaigames.cl/producto/regroup-chicken-army/
Pokemon TCG – Mega Lucario ex League Battle Deck Inglés,$39.990,$37.990,Oferta,https://mangaigames.cl/producto/pokemon-tcg-league-battle-deck-mega-lucario-ex-ingles/
Terraforming Mars: Expedición Ares,$44.990,,,https://mangaigames.cl/producto/terraforming-mars-expedicion-ares/
Compile,$19.990,,,https://mangaigames.cl/producto/compile/
Exit: Aventuras en Catán,$15.990,,,https://mangaigames.cl/producto/exit-aventuras-en-catan/
Dead Cells,$99.990,,Agotado,https://mangaigames.cl/producto/dead-cells/
Carcassonne: Maravillas de la Humanidad Set 3,$14.990,,,https://mangaigames.cl/producto/carcassonne-maravillas-de-la-humanidad-set-3/
Carcassonne: Maravillas de la Humanidad Set 2,$14.990,,,https://mangaigames.cl/producto/carcassonne-maravillas-de-la-humanidad-set-2/
Carcassonne: Set de Miniexpansiones I,$19.990,,,https://mangaigames.cl/producto/carcassonne-set-de-mini-expansiones-i/
La resistencia: Avalon,$24.990,,,https://mangaigames.cl/producto/la-resistencia-avalon/
Catan: Mini expansión Santa Claus,$9.990,,,https://mangaigames.cl/producto/catan-mini-expansion-santa-claus/
Cthulhu Dark Providence,$49.990,,,https://mangaigames.cl/producto/cthulhu-dark-providence/
Hitster Summer Party,$24.990,,,https://mangaigames.cl/producto/preventa-hitster-summer-party/
Dobble One Piece,$16.990,,,https://mangaigames.cl/producto/dobble-one-piece/
Pokemon TCG Mega Evolution Ascended Heroes – Booster Bundle (Inglés),$36.990,,Agotado,https://mangaigames.cl/producto/mega-evolution-ascended-heroes-booster-bundle/
Terraforming Mars,$64.990,,,https://mangaigames.cl/producto/terraforming-mars/
Perritos,$15.990,,,https://mangaigames.cl/producto/perritos/
Catan: expansión 5-6 jugadores,$24.990,,,https://mangaigames.cl/producto/catan-expansion-5-6-jugadores/
Quillén: El bosque esclerófilo,$24.990,,,https://mangaigames.cl/producto/quillen-el-bosque-esclerofilo/
ILAN: Mini Expansión 2025,$3.490,,,https://mangaigames.cl/producto/mini-expansion-2025-ilan/
ILAN: Expansión 2025,$8.000,$7.500,Oferta,https://mangaigames.cl/producto/expansion-2025-ilan/
5 Minute One Piece,$31.990,,,https://mangaigames.cl/producto/5-minute-one-piece/
Lealtad cero,$22.990,,,https://mangaigames.cl/producto/lealtad-cero/
Burst,$9.990,,,https://mangaigames.cl/producto/burst/
Bloops,$11.990,,,https://mangaigames.cl/producto/bloops/
Pokemon TCG Mega Evolution Perfect Order – Booster Bundle Inglés,$39.990,$35.990,Oferta,https://mangaigames.cl/producto/pokemon-tcg-mega-evolution-perfect-order-booster-bundle/
Pokemon TCG First Partner Illustration Collection (Inglés),$19.990,,Agotado,https://mangaigames.cl/producto/pokemon-tcg-first-partners-illustration-collection-series-1/
Pokemon TCG Mega Evolution – Ascended Heroes Premium Poster Collection (Inglés),$67.990,,Agotado,https://mangaigames.cl/producto/pokemon-tcg-mega-evolution-ascended-heroes-premium-poster-collection-2/
Wolfenstein el Juego de Tablero: The Old Blood,$64.990,,,https://mangaigames.cl/producto/wolfenstein-el-juego-de-tablero-the-old-blood/
Wolfenstein El Juego De Tablero,$124.990,,,https://mangaigames.cl/producto/wolfenstein-el-juego-de-tablero/
Dominio de los Elementos,$19.990,,,https://mangaigames.cl/producto/dominio-de-los-elementos/
Chao Pescao,$19.990,,,https://mangaigames.cl/producto/chao-pescao/
La Previa,$19.990,,,https://mangaigames.cl/producto/la-previa/
Ilari Ilarié Cántalo,$19.990,,,https://mangaigames.cl/producto/ilari-ilarie-cantalo/
Yo Soy Tu Peli,$19.990,,,https://mangaigames.cl/producto/yo-soy-tu-peli/
Mal Trago,$15.990,,,https://mangaigames.cl/producto/mal-trago/
Catan El juego de Cartas,$10.990,,,https://mangaigames.cl/producto/catan-el-juego-de-cartas/
