title,original_price,current_price,stock_status,url
Epic Encounters: Forest of the Damned,$52.990,,,https://piedrabruja.cl/products/epic-encounters-forest-of-the-damned
Epic Encounters - Glade of the Evil Oak,$52.990,,,https://piedrabruja.cl/products/epic-encounters-glade-of-the-evil-oak
Dominio de los Elementos - Arena y Viento,$14.990,,,https://piedrabruja.cl/products/dominio-de-los-elementos-arena-y-viento
Dixit - Kids,$24.990,,,https://piedrabruja.cl/products/dixit-kids
Cereal Killer,$12.990,,,https://piedrabruja.cl/products/cereal-killer
Pichanga: Trivia de Futbol,$19.990,,,https://piedrabruja.cl/products/pichanga-trivia-de-futbol
Dragominio,$22.990,,,https://piedrabruja.cl/products/dragominio
Catan - Energías,$59.990,,,https://piedrabruja.cl/products/catan-energias
Exit - La Fuga,$17.990,,,https://piedrabruja.cl/products/exit-la-fuga
Beadle & Grimm's Encounter Cards - CR7+ Set 2,$19.990,,,https://piedrabruja.cl/products/beadle-grimms-encounter-cards-cr7-set-2
Jenga XXL + Bolso Celeste,$69.900,,,https://piedrabruja.cl/products/yenga-xxl-bolso-celeste
Beadle & Grimm's Encounter Cards - CR7+ Set 1,$19.990,,,https://piedrabruja.cl/products/beadle-grimms-encounter-cards-cr7-set-1
Supercracks Fútbol ⚽,$14.990,,,https://piedrabruja.cl/products/supercracks-futbol
Historias de Fútbol ⚽,$14.990,,,https://piedrabruja.cl/products/historias-de-futbol
Bundle Marvel United Multiverse,$214.920,$99.990,Oferta,https://piedrabruja.cl/products/bundle-marvel-united-multiverse
Beadle & Grimm's Encounter Cards - CR0-6 Set 2,$19.990,,,https://piedrabruja.cl/products/beadle-grimms-encounter-cards-cr0-6-set-2
Warriors of Krynn Boardgame,$84.990,,,https://piedrabruja.cl/products/warriors-of-krynn-boardgame
Epic Encounters - Sanctuary of the Steelborn,$52.990,,,https://piedrabruja.cl/products/epic-encounters-sanctuary-of-the-steelborn
Epic Encounters - The Titan's Vigil,$52.990,,,https://piedrabruja.cl/products/epic-encounters-the-titans-vigil
Hive Carbon - The Pillbug Expansion,$14.990,,,https://piedrabruja.cl/products/hive-carbon-the-pillbug-expansion
Hive - The Ladybug Expansion,$14.990,,,https://piedrabruja.cl/products/hive-the-ladybug-expansion
Hive - The Mosquito Expansion,$14.990,,,https://piedrabruja.cl/products/hive-the-mosquito-expansion
Bingo,$10.990,,,https://piedrabruja.cl/products/bingo
Dominó,$8.990,,,https://piedrabruja.cl/products/domino-1
Take Time,$24.990,,,https://piedrabruja.cl/products/take-time
Dobble - Spiderman,$16.990,,,https://piedrabruja.cl/products/dobble-spiderman
La Previa,$19.990,,,https://piedrabruja.cl/products/la-previa
Panic Lab 2da Edicion,$16.990,,,https://piedrabruja.cl/products/panic-lab-2da-edicion
Código Secreto - Duo Nueva Edicion,$21.990,,,https://piedrabruja.cl/products/codigo-secreto-duo-nueva-edicion
Sushi Go - Gira y come Dim Sum,$24.990,,,https://piedrabruja.cl/products/sushi-go-gira-y-come-dim-sum
Juego de Memoria My Little Pony,$4.990,,,https://piedrabruja.cl/products/juego-de-memoria-my-little-pony
Juego de Memoria Peppa Pig,$4.990,,,https://piedrabruja.cl/products/juego-de-memoria-peppa-pig
Monopoly - Expansión Ve a la Cárcel,$11.990,,,https://piedrabruja.cl/products/monopoly-expansion-ve-a-la-carcel
Monopoly - Expansión Todo a la Venta,$11.990,,,https://piedrabruja.cl/products/monopoly-expansion-todo-a-la-venta
Monopoly - Expansión Parada Libre El Gran Premio,$11.990,,,https://piedrabruja.cl/products/monopoly-expansion-parada-libre-el-gran-premio
Monopoly - Deal,$4.990,,,https://piedrabruja.cl/products/monopoly-deal
Monopoly - APP Banking,$29.990,,,https://piedrabruja.cl/products/monopoly-app-banking
Trivialista,$29.990,,,https://piedrabruja.cl/products/trivialista
Operando,$24.990,,,https://piedrabruja.cl/products/operando
Juego de Memoria Transformers,$4.990,,,https://piedrabruja.cl/products/juego-de-memoria-transformer
Destreza,$24.990,,,https://piedrabruja.cl/products/destreza
Clue - Conspiración,$24.990,,,https://piedrabruja.cl/products/clue-conspiracion
Cosmolancer,$39.990,,,https://piedrabruja.cl/products/untitled-dec11_20-34
Vampire Chapters: Core Box,$224.990,,,https://piedrabruja.cl/products/vampire-chapters-core-box
Mucho Cucurucho,$12.990,,,https://piedrabruja.cl/products/mucho-cucurucho
Kittin,$12.990,,,https://piedrabruja.cl/products/kittin
Pick A Cerdo,$14.990,,,https://piedrabruja.cl/products/pick-a-cerdo
Draftosaurus - Marina y Show Aéreo,$19.990,,,https://piedrabruja.cl/products/draftosaurus-marina-y-show-aereo
Dragones del Mar,$34.990,,,https://piedrabruja.cl/products/dragones-del-mar
Alebrijes,$14.990,,,https://piedrabruja.cl/products/alebrijes
Puzzle de Caras - Expresiones Faciales,$10.990,,,https://piedrabruja.cl/products/puzzle-de-caras-expresiones-faciales
El Pantano de Feya,$34.990,,,https://piedrabruja.cl/products/el-pantano-de-feya
Grúa de Peluches,$14.990,,,https://piedrabruja.cl/products/grua-de-peluches
La Morada Maldita,$19.990,,,https://piedrabruja.cl/products/la-morada-maldita
Llama Kadabra,$12.990,,,https://piedrabruja.cl/products/llama-kadabra
Linko,$12.990,,,https://piedrabruja.cl/products/linko
Mada,$12.990,,,https://piedrabruja.cl/products/mada
