title,original_price,current_price,stock_status,url
Tainted Grail: Reyes de la Perdición,$184.990,$179.990,Oferta,https://revaruk.cl/producto/tainted-grail-reyes-de-la-perdicion/
Flamme Rouge,$44.990,,,https://revaruk.cl/producto/flamme-rouge/
Inferno,$65.990,$61.990,Oferta,https://revaruk.cl/producto/inferno-2/
Bienvenidos a Everdell,$44.990,$42.990,Oferta,https://revaruk.cl/producto/bienvenidos-a-everdell/
Fateforge Cronicas de Kaan,$119.990,$115.990,Oferta,https://revaruk.cl/producto/fateforge-cronicas-de-kaan/
King Of Tokyo MindBug,$25.990,,,https://revaruk.cl/producto/king-of-tokyo-mindbug/
Everdell Duo,$37.990,$35.990,Oferta,https://revaruk.cl/producto/everdell-duo/
Casa de Fado,$59.990,,,https://revaruk.cl/producto/casa-de-fado/
Cloudspire,$99.990,$95.990,Oferta,https://revaruk.cl/producto/cloudspire/
Castle Combo,$24.990,,,https://revaruk.cl/producto/castle-combo/
Cyclades (Edición Legendaria),$79.990,$76.990,Oferta,https://revaruk.cl/producto/cyclades-edicion-legendaria/
Galileo Galilei,$59.990,,Agotado,https://revaruk.cl/producto/galileo-galilei/
Mystic Vale (Edición Esencial),$69.990,$66.990,Oferta,https://revaruk.cl/producto/mystic-vale-edicion-esencial/
Wingspan: Expansión de OceanÍa,$34.990,$32.990,Oferta,https://revaruk.cl/producto/wingspan-expansion-de-oceania/
Inventions La Evolución de la Ideas,$149.990,$144.990,Oferta,https://revaruk.cl/producto/inventions-la-evolucion-de-la-ideas/
Wok And Roll,$22.990,$21.990,Agotado,https://revaruk.cl/producto/wok-and-roll/
Turbo Canicas,$19.990,,,https://revaruk.cl/producto/turbo-canicas/
Harmonies Pulse,$5.990,,,https://revaruk.cl/producto/harmonies-pulse/
KPop Demon Hunters Batalla por los Focos,$14.990,,,https://revaruk.cl/producto/kpop-demon-hunters-batalla-por-los-focos/
Marvel Champions – Elektra,$16.990,,,https://revaruk.cl/producto/marvel-champions-elektra/
Marvel Champions – Iron Fist,$16.990,,,https://revaruk.cl/producto/marvel-champions-iron-fist/
Marvel Champions – Shadowlands Pack Escenarios,$24.990,$23.990,Oferta,https://revaruk.cl/producto/marvel-champions-shadowlands-pack-escenario/
El Gato más Feliz del Mundo,$27.990,$25.990,Oferta,https://revaruk.cl/producto/el-gato-mas-feliz-del-mundo/
Blancat,$19.990,$18.990,Oferta,https://revaruk.cl/producto/blancat/
Formaggio,$49.990,$47.990,Agotado,https://revaruk.cl/producto/formaggio/
Unlock! New Game Adventures,$32.990,$30.990,Oferta,https://revaruk.cl/producto/unlock-new-game-adventures/
¡Aventureros al Tren! Europa (Nueva Edición),$44.990,$41.990,Oferta,https://revaruk.cl/producto/aventureros-al-tren-europa-nueva-edicion/
Dixit Signature – Villanos,$10.990,,,https://revaruk.cl/producto/dixit-signature-villanos/
Dixit Signature – Aventura y Misterio,$10.990,,,https://revaruk.cl/producto/dixit-signature-aventura-y-misterio/
Orloj,$59.990,,,https://revaruk.cl/producto/orloj/
Rock Hard 1977 Temazos (Expansión),$17.990,$16.990,Oferta,https://revaruk.cl/producto/rock-hard-1977-temazos-expansion/
7th Seal,$19.990,$18.990,Oferta,https://revaruk.cl/producto/7th-seal/
Carnival Of Sins,$19.990,$18.990,Oferta,https://revaruk.cl/producto/carnival-of-sins/
Unlock! Miniaventuras – La Senda de la Katana,$6.990,,,https://revaruk.cl/producto/unlock-miniaventuras-la-senda-de-la-katana/
Blockbuster : Edición Retro,$24.990,$22.990,Agotado,https://revaruk.cl/producto/blockbuster-edicion-retro/
Cosmo,$12.990,$11.990,Oferta,https://revaruk.cl/producto/cosmo/
