title,original_price,current_price,stock_status,url
[PREVENTA] GLOOMHAVEN BOTONES Y BICHOS,"$19,990 CLP",,,https://tentami.cl/products/gloomhaven-botones-y-bichos
PREVENTA: Dune Imperium - Inmortalidad,"$29,990 CLP",,,https://tentami.cl/products/dune-imperium-inmortalidad
PREVENTA: Dune Imperium - Linajes,"$39,990 CLP",,,https://tentami.cl/products/dune-imperium-linajes
TOY BATTLE - LA CROISETTE,"$3,990 CLP",,,https://tentami.cl/products/toy-battle-la-croisette
PREVENTA: TOY BATTLE,"$24,990 CLP",,,https://tentami.cl/products/draft-12009
STAR WARS LEGION - GALACTIC REPUBLIC STARTER SET,"$94,990 CLP",,,https://tentami.cl/products/star-wars-legion-galactic-republic-starter-set
GUNSEN - BATTLE FOR TOSHI RANBO,"$59,990 CLP",,,https://tentami.cl/products/gunsen-battle-for-toshi-ranbo
Hero Realms Mazo Jefe Liche,"$7,990 CLP",,,https://tentami.cl/products/hero-realms-mazo-jefe-liche
JDM Cities Usa (Español)- Juego,"$27,990 CLP",,,https://tentami.cl/products/jdm-cities-usa-espanol-juego
STAR WARS LEGION - CUSTOMIZABLE SUPER TACTICAL COMMAND DROID,"$29,990 CLP",,,https://tentami.cl/products/star-wars-legion-customizable-super-tactical-command-droid
JDM Rock Hard 1977 Temazos (Español)-Juego,"$17,990 CLP",,,https://tentami.cl/products/jdm-rock-hard-1977-temazos-espanol-juego
Legendary Hunt – The Witcher: El Viejo Mundo,"$89,990 CLP",,,https://tentami.cl/products/legendary-hunt-the-witcher-el-viejo-mundo
Warp’s Edge,"$42,990 CLP",,,https://tentami.cl/products/warp-s-edge
Dungeon Fighter 2da Edición,"$44,990 CLP",,,https://tentami.cl/products/jdm-dungeon-fighter-2da-edicion
THE MANDALORIAN ADVENTURES - CONSAGRADOS AL CREDO,"$39,990 CLP",,,https://tentami.cl/products/the-mandalorian-adventures-consagrados-al-credo
PREVENTA: Zombicide Squid Game,"$52,990 CLP",,,https://tentami.cl/products/zombicide-squid-game
Radlands La Secta Cromada,"$27,990 CLP",,,https://tentami.cl/products/radlands-la-secta-cromada
Clank!: Catacumbas,"$64,990 CLP",,,https://tentami.cl/products/clank-catacumbas
Arcs: Pack de miniaturas,"$54,990 CLP",,,https://tentami.cl/products/arcs-pack-de-miniaturas
JinxO,"$24,990 CLP",,,https://tentami.cl/products/jinxo
STAR WARS LEGION - OUTER RIM BATTLES TERRAIN PACK,"$59,990 CLP",,,https://tentami.cl/products/star-wars-legion-outer-rim-battles-terrain-pack
Survive The Island,"$27,990 CLP",,,https://tentami.cl/products/survive-the-island
STAR WARS LEGION - CLONE COMMANDER CODY REFRESHED,"$34,990 CLP",,,https://tentami.cl/products/star-wars-legion-clone-commander-cody-refreshed
STAR WARS LEGION - 3D OBJECTIVE TOKENS,"$39,990 CLP",,,https://tentami.cl/products/star-wars-legion-3d-objective-tokens
STAR WARS LEGION - GENERAL GRIEVOUS' TSMEU-6 WHEEL BIKE,"$49,990 CLP",,,https://tentami.cl/products/star-wars-legion-general-grievous-tsmeu-6-wheel-bike
STAR WARS LEGION - SEPARATIST ALLIANCE STARTER SET,"$94,990 CLP",,,https://tentami.cl/products/star-wars-legion-separatist-alliance-starter-set
STAR WARS LEGION - LM-432 CRAB DROID UNIT EXPANSION,"$49,990 CLP",,,https://tentami.cl/products/star-wars-legion-lm-432-crab-droid-unit-expansion
