title,original_price,current_price,stock_status,url
¡Toma 6!,"$12,990",,,https://tertulia.cl/producto/toma-6/
¡Toma 6! : 30 Aniversario,"$21,990",,,https://tertulia.cl/producto/toma-6-30-aniversario/
#_Hashtag,"$7,990","$6,550",Oferta,https://tertulia.cl/producto/hashtag/
3 Actos,"$12,990",,,https://tertulia.cl/producto/3-actos/
Alta Tensión (Reenergizado),"$39,000",,Agotado,https://tertulia.cl/producto/alta-tension/
Amigos de Mierda,"$12,990",,,https://tertulia.cl/producto/amigos-de-mierda/
Amigos de Mierda 2,"$12,990",,,https://tertulia.cl/producto/amigos-de-mierda-2/
Arcs,"$79,000",,,https://tertulia.cl/producto/arcs/
Arte Moderno (31 Minutos),"$24,990",,,https://tertulia.cl/producto/arte-moderno/
Asamblea del Mal,"$14,990",,,https://tertulia.cl/producto/asamblea-del-mal/
Aventureros al Tren Europa,"$44,000",,Agotado,https://tertulia.cl/producto/aventureros-al-tren-europa/
Aventureros al Tren Europa 15 Anniversary,"$99,000",,,https://tertulia.cl/producto/aventureros-al-tren-europa-15-anniversary/
Axio,"$34,000",,,https://tertulia.cl/producto/axio/
Azul,"$39,000",,,https://tertulia.cl/producto/azul/
Bar Bestial,"$16,990",,Agotado,https://tertulia.cl/producto/bar-bestial/
Barrio,"$15,990",,,https://tertulia.cl/producto/barrio/
Batalla de Coronas,"$15,990","$13,100",Oferta,https://tertulia.cl/producto/batalla-de-coronas/
Betrayal At House On The Hill,"$59,000",,,https://tertulia.cl/producto/betrayal-at-house-on-the-hill/
Blockits,"$13,990",,,https://tertulia.cl/producto/blockits/
Bohnanza,"$12,990",,Agotado,https://tertulia.cl/producto/bohnanza/
BrainBox: Harry Potter,"$15,990",,,https://tertulia.cl/producto/brainbox-harry-potter/
