title,original_price,current_price,stock_status,url
Scooby-Doo el juego de mesa,$ 60.000,,,https://www.thirdimpact.cl/product/scooby-doo-el-juego-de-mesa
Agricola Animales en la Granja,$ 35.000,,,https://www.thirdimpact.cl/product/agricola-animales-en-la-granja
Evergreen,$ 50.000,,,https://www.thirdimpact.cl/product/evergreen
Dice Throne Monje vs Paladín,$ 34.000,,,https://www.thirdimpact.cl/product/dice-throne-monje-vs-paladin
Dice Throne Bárbaro vs Elfa Lunar,$ 34.000,,,https://www.thirdimpact.cl/product/dice-throne-barbaro-vs-elfa-lunar
Pandemic Iberia,$ 49.000,,,https://www.thirdimpact.cl/product/pandemic-iberia
Cthulhu Confidential,$ 40.000,,,https://www.thirdimpact.cl/product/cthulhu-confidential
Alma Mater Base,$ 60.000,,,https://www.thirdimpact.cl/product/alma-mater-base
¡Aventureros al Tren! India,$ 34.000,,,https://www.thirdimpact.cl/product/aventureros-al-tren-india
¡Aventureros al Tren! Francia (+ El Viejo Oeste),$ 43.000,,,https://www.thirdimpact.cl/product/aventureros-al-tren-francia-el-viejo-oeste
¡Aventureros al Tren! Europa,$ 45.000,,,https://www.thirdimpact.cl/product/aventureros-al-tren-europa
¡Aventureros al Tren! El Corazón de África,$ 27.000,,,https://www.thirdimpact.cl/product/aventureros-al-tren-el-corazon-de-africa
¡Aventureros al Tren! Asia,$ 34.000,,,https://www.thirdimpact.cl/product/aventureros-al-tren-asia
¡Aventureros al Tren! America,$ 45.000,,,https://www.thirdimpact.cl/product/aventureros-al-tren-america
Marvel United: El Ascenso de Black Panther,$ 27.000,,,https://www.thirdimpact.cl/product/marvel-united-el-ascenso-de-black-panther
Marvel United (Base),$ 40.000,,,https://www.thirdimpact.cl/product/marvel-united-base
Stratego (Original),$ 35.000,,,https://www.thirdimpact.cl/product/stratego-original
Spies & Lies: A Stratego Story,$ 18.000,,,https://www.thirdimpact.cl/product/spies-lies-a-stratego-story
Namiji: Aguamarina Expansión,$ 20.000,,,https://www.thirdimpact.cl/product/namiji-aguamarina-expansion
Namiji,$ 40.000,,,https://www.thirdimpact.cl/product/namiji
Exploding Kittens: El Bien contra el Mal,$ 22.000,,,https://www.thirdimpact.cl/product/exploding-kittens-el-bien-contra-el-mal
Dixit: Revelations,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-revelations
Dixit: Quest,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-quest
Dixit: Odyssey Refresh,$ 30.000,,,https://www.thirdimpact.cl/product/dixit-odyssey-refresh
Dixit: Aniversario,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-aniversario
Dixit: Harmonies,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-harmonies
Dixit: Origins,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-origins
Dixit: Disney Edition,$ 34.000,,,https://www.thirdimpact.cl/product/dixit-disney-edition
Dixit: Juego Base (Nueva Edición),$ 30.000,,,https://www.thirdimpact.cl/product/dixit-juego-base-nueva-edicion
Dixit: Mirrors,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-mirrors
Dixit: Daydreams,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-daydreams
Dixit: Memories,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-memories
Dixit: Journey,$ 20.000,,,https://www.thirdimpact.cl/product/dixit-journey
Block Block Burrito: Expansión,$ 20.000,,,https://www.thirdimpact.cl/product/block-block-burrito-expansion
Azul: Vitrales de Sintra,$ 45.000,,,https://www.thirdimpact.cl/product/azul-vitrales-de-sintra
Anarchy Pancakes,$ 16.000,,,https://www.thirdimpact.cl/product/anarchy-pancakes
7 Wonders: Cities,$ 27.000,,,https://www.thirdimpact.cl/product/7-wonders-cities
Mr. Wolf,$ 20.000,,,https://www.thirdimpact.cl/product/mr-wolf
"Curao, Volao o Weón (Este Juego es la Raja)",$ 20.000,,,https://www.thirdimpact.cl/product/curao-volao-o-weon-este-juego-es-la-raja
Concept Kids: Animales,$ 25.000,,,https://www.thirdimpact.cl/product/concept-kids-animales
Concept Base,$ 35.000,,,https://www.thirdimpact.cl/product/concept-base
Azul: Pabellón de Verano,$ 45.000,,,https://www.thirdimpact.cl/product/azul-pabellon-de-verano
Azul: Master Chocolatier,$ 45.000,,,https://www.thirdimpact.cl/product/azul-master-chocolatier
Azul: Jardín de la Reina,$ 45.000,,,https://www.thirdimpact.cl/product/azul-jardin-de-la-reina
7 Wonders,$ 48.000,,,https://www.thirdimpact.cl/product/7-wonders
Stranger Things Attack of the Mind Flayer,$ 32.000,,Agotado,https://www.thirdimpact.cl/product/stranger-things-attack-of-the-mind-flayer
Happy Salmon,$ 13.000,,Agotado,https://www.thirdimpact.cl/product/happy-salmon
Exploding Kittens: Edición Original,$ 20.000,,Agotado,https://www.thirdimpact.cl/product/exploding-kittens-edicion-original
Exploding Kittens: Edición NSFW,$ 20.000,,Agotado,https://www.thirdimpact.cl/product/exploding-kittens-edicion-nsfw
Exploding Minions,$ 28.000,,Agotado,https://www.thirdimpact.cl/product/exploding-minions
Azul (Base),$ 45.000,,Agotado,https://www.thirdimpact.cl/product/azul-base
